Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_,single-phoneme,67212,66966,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_,single-phoneme,71084,70858,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_,single-phoneme,75022,74855,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_,single-phoneme,79050,78850,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_,single-phoneme,83006,82818,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_,single-phoneme,87070,86811,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_,single-phoneme,90984,90808,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_,single-phoneme,94949,94803,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_,single-phoneme,98948,98798,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_,single-phoneme,103285,102796,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_,single-phoneme,106938,106791,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_,single-phoneme,111014,110821,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_,single-phoneme,114998,114816,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_,single-phoneme,118927,118779,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_,single-phoneme,122957,122776,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_,single-phoneme,127005,126771,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_,single-phoneme,130933,130769,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_,single-phoneme,134954,134766,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_,single-phoneme,138904,138759,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_,single-phoneme,142909,142756,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_,single-phoneme,147045,146756,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_,single-phoneme,151032,150782,22,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_,single-phoneme,154928,154778,23,e,,,NaN,NaN,vowels,,,vowels
Oo3,0,NaN,control_,single-phoneme,158961,158775,24,o,,,NaN,NaN,vowels,,,vowels
Ee3,0,NaN,control_,single-phoneme,162963,162770,25,i,,,NaN,NaN,vowels,,,vowels
Ah3,0,NaN,control_,single-phoneme,166944,166734,26,a,,,NaN,NaN,vowels,,,vowels
Uh3,0,NaN,control_,single-phoneme,170903,170731,27,u,,,NaN,NaN,vowels,,,vowels
T3,0,NaN,control_,single-phoneme,174890,174726,28,t,,,NaN,NaN,alveolar,stop,no,alveolar
P3,0,NaN,control_,single-phoneme,178876,178721,29,p,,,NaN,NaN,bilabial,stop,no,bilabial
S3,0,NaN,control_,single-phoneme,182970,182719,30,s,,,NaN,NaN,alveolar,fricative,no,alveolar
D3,0,NaN,control_,single-phoneme,186871,186716,31,d,,,NaN,NaN,alveolar,stop,yes,alveolar
B3,0,NaN,control_,single-phoneme,190851,190711,32,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Z3,0,NaN,control_,single-phoneme,194966,194706,33,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
Uh4,0,NaN,control_,single-phoneme,198926,198703,34,u,,,NaN,NaN,vowels,,,vowels
Oo4,0,NaN,control_,single-phoneme,202892,202731,35,o,,,NaN,NaN,vowels,,,vowels
Ee4,0,NaN,control_,single-phoneme,207582,206727,36,i,,,NaN,NaN,vowels,,,vowels
Ah4,0,NaN,control_,single-phoneme,210978,210757,37,a,,,NaN,NaN,vowels,,,vowels
Eh4,0,NaN,control_,single-phoneme,214941,214785,38,e,,,NaN,NaN,vowels,,,vowels
S3,0,NaN,control_,single-phoneme,219002,218751,39,s,,,NaN,NaN,alveolar,fricative,no,alveolar
P3,0,NaN,control_,single-phoneme,222933,222778,40,p,,,NaN,NaN,bilabial,stop,no,bilabial
T3,0,NaN,control_,single-phoneme,226940,226776,41,t,,,NaN,NaN,alveolar,stop,no,alveolar
Z3,0,NaN,control_,single-phoneme,231030,230770,42,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
B3,0,NaN,control_,single-phoneme,234907,234767,43,b,,,NaN,NaN,bilabial,stop,yes,bilabial
D3,0,NaN,control_,single-phoneme,238885,238730,44,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Oo5,0,NaN,control_,single-phoneme,242881,242729,45,o,,,NaN,NaN,vowels,,,vowels
Ah5,0,NaN,control_,single-phoneme,246905,246723,46,a,,,NaN,NaN,vowels,,,vowels
Uh5,0,NaN,control_,single-phoneme,250874,250719,47,u,,,NaN,NaN,vowels,,,vowels
Eh5,0,NaN,control_,single-phoneme,254898,254716,48,e,,,NaN,NaN,vowels,,,vowels
Ee5,0,NaN,control_,single-phoneme,258864,258711,49,i,,,NaN,NaN,vowels,,,vowels
Z5,0,NaN,control_,single-phoneme,262932,262709,50,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P5,0,NaN,control_,single-phoneme,266851,266704,51,p,,,NaN,NaN,bilabial,stop,no,bilabial
D5,0,NaN,control_,single-phoneme,270909,270731,52,d,,,NaN,NaN,alveolar,stop,yes,alveolar
S5,0,NaN,control_,single-phoneme,274963,274764,53,s,,,NaN,NaN,alveolar,fricative,no,alveolar
T5,0,NaN,control_,single-phoneme,278969,278790,54,t,,,NaN,NaN,alveolar,stop,no,alveolar
