Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_lip,single-phoneme,535775,535529,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_lip,single-phoneme,539651,539425,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_lip,single-phoneme,543557,543390,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_lip,single-phoneme,547617,547417,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_lip,single-phoneme,551570,551382,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_lip,single-phoneme,555668,555409,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_lip,single-phoneme,559582,559406,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_lip,single-phoneme,563516,563370,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_lip,single-phoneme,567516,567366,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_lip,single-phoneme,571853,571364,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_lip,single-phoneme,575506,575359,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_lip,single-phoneme,579548,579355,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_lip,single-phoneme,583564,583382,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_lip,single-phoneme,587494,587346,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_lip,single-phoneme,591524,591343,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_lip,single-phoneme,595572,595338,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_lip,single-phoneme,599498,599334,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_lip,single-phoneme,603518,603330,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_lip,single-phoneme,607472,607327,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_lip,single-phoneme,611508,611355,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_lip,single-phoneme,615611,615322,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
