Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,tongue,phonemes,1,vC,u,d,1692374,1692718,1692274,alveolar,stop,no,alveolar
aD_angry1,1,3,tongue,phonemes,2,vC,a,d,1700333,1700566,1700233,alveolar,stop,no,alveolar
Pu_angry2,1,2,tongue,phonemes,3,Cv,p,u,1708359,1708474,1708259,bilabial,stop,no,bilabial
iT_angry2,0,4,control_tongue,phonemes,4,vC,i,t,1716341,1716585,1716241,alveolar,stop,no,alveolar
Bo_angry2,1,1,tongue,phonemes,5,Cv,b,o,1724343,1724397,1724243,bilabial,stop,yes,bilabial
iD_happy1,1,3,tongue,phonemes,6,vC,i,d,1732335,1732656,1732235,alveolar,stop,no,alveolar
eB_angry1,1,1,tongue,phonemes,7,vC,e,b,1740361,1740681,1740261,alveolar,stop,no,alveolar
aD_happy1,1,3,tongue,phonemes,8,vC,a,d,1748353,1748610,1748253,alveolar,stop,no,alveolar
Pa_angry1,1,2,tongue,phonemes,9,Cv,p,a,1756346,1756480,1756246,bilabial,stop,no,bilabial
eT_happy2,0,4,control_tongue,phonemes,10,vC,e,t,1764291,1764554,1764191,alveolar,stop,no,alveolar
Da_happy1,1,3,tongue,phonemes,11,Cv,d,a,1772330,1772406,1772230,alveolar,stop,yes,alveolar
Bi_happy1,1,1,tongue,phonemes,12,Cv,b,i,1780356,1780410,1780256,bilabial,stop,yes,bilabial
Be_angry1,1,1,tongue,phonemes,13,Cv,b,e,1788348,1788401,1788248,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_tongue,phonemes,14,Cv,p,u,1796340,1796423,1796240,bilabial,stop,no,bilabial
uT_angry1,1,4,tongue,phonemes,15,vC,u,t,1804333,1804652,1804233,alveolar,stop,no,alveolar
Di_angry1,1,3,tongue,phonemes,16,Cv,d,i,1812358,1812444,1812258,alveolar,stop,yes,alveolar
uT_happy2,0,4,control_tongue,phonemes,17,vC,u,t,1820348,1820676,1820248,alveolar,stop,no,alveolar
eB_happy2,0,1,control_tongue,phonemes,18,vC,e,b,1828350,1828592,1828250,alveolar,stop,no,alveolar
Do_happy2,0,3,control_tongue,phonemes,19,Cv,d,o,1836334,1836386,1836234,alveolar,stop,yes,alveolar
Pu_happy2,1,2,tongue,phonemes,20,Cv,p,u,1844360,1844442,1844260,bilabial,stop,no,bilabial
