Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_,single-phoneme,500123,499877,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_,single-phoneme,503997,503771,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_,single-phoneme,507934,507767,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_,single-phoneme,511932,511732,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_,single-phoneme,515915,515727,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_,single-phoneme,519983,519724,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_,single-phoneme,523895,523719,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_,single-phoneme,527863,527717,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_,single-phoneme,531861,531711,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_,single-phoneme,536197,535708,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_,single-phoneme,539851,539704,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_,single-phoneme,543893,543700,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_,single-phoneme,547877,547695,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_,single-phoneme,551841,551693,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_,single-phoneme,555869,555688,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_,single-phoneme,559918,559684,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_,single-phoneme,563845,563681,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_,single-phoneme,567865,567677,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_,single-phoneme,571820,571675,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_,single-phoneme,575822,575669,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_,single-phoneme,579955,579666,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
