Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
Ta_angry1,1,4,lip,phonemes,63,Cv,t,a,1964724,1964832,1964624,alveolar,stop,no,alveolar
Te_happy1,1,4,lip,phonemes,64,Cv,t,e,1972789,1972902,1972689,alveolar,stop,no,alveolar
Pi_happy2,1,2,lip,phonemes,65,Cv,p,i,1980722,1980822,1980622,bilabial,stop,no,bilabial
oB_angry2,0,1,control_lip,phonemes,66,vC,o,b,1988754,1989086,1988654,alveolar,stop,no,alveolar
Da_angry2,0,3,control_lip,phonemes,67,Cv,d,a,1996754,1996810,1996654,alveolar,stop,yes,alveolar
Be_happy2,1,1,lip,phonemes,68,Cv,b,e,2004718,2004863,2004618,bilabial,stop,yes,bilabial
iT_angry2,1,4,lip,phonemes,69,vC,i,t,2012774,2013018,2012674,alveolar,stop,no,alveolar
iP_angry1,0,2,control_lip,phonemes,70,vC,i,p,2020771,2021098,2020671,alveolar,stop,no,alveolar
iT_happy1,0,4,control_lip,phonemes,71,vC,i,t,2028772,2029055,2028672,alveolar,stop,no,alveolar
aD_happy2,0,3,control_lip,phonemes,72,vC,a,d,2036803,2037068,2036703,alveolar,stop,no,alveolar
To_happy2,0,4,control_lip,phonemes,73,Cv,t,o,2044736,2044823,2044636,alveolar,stop,no,alveolar
Pe_angry2,1,2,lip,phonemes,74,Cv,p,e,2052711,2052857,2052611,bilabial,stop,no,bilabial
eT_happy2,1,4,lip,phonemes,75,vC,e,t,2060745,2061008,2060645,alveolar,stop,no,alveolar
Ti_angry2,1,4,lip,phonemes,76,Cv,t,i,2068709,2068883,2068609,alveolar,stop,no,alveolar
Ta_happy2,1,4,lip,phonemes,77,Cv,t,a,2076741,2076811,2076641,alveolar,stop,no,alveolar
uP_angry2,0,2,control_lip,phonemes,78,vC,u,p,2084776,2085160,2084676,alveolar,stop,no,alveolar
Tu_happy2,1,4,lip,phonemes,79,Cv,t,u,2092706,2092805,2092606,alveolar,stop,no,alveolar
uT_happy2,1,4,lip,phonemes,80,vC,u,t,2100805,2101133,2100705,alveolar,stop,no,alveolar
De_angry2,1,3,lip,phonemes,81,Cv,d,e,2108772,2108819,2108672,alveolar,stop,yes,alveolar
Po_happy2,1,2,lip,phonemes,82,Cv,p,o,2116734,2116814,2116634,bilabial,stop,no,bilabial
eP_angry2,1,2,lip,phonemes,83,vC,e,p,2124733,2125041,2124633,alveolar,stop,no,alveolar
eD_happy2,0,3,control_lip,phonemes,84,vC,e,d,2132734,2133017,2132634,alveolar,stop,no,alveolar
uT_angry2,1,4,lip,phonemes,85,vC,u,t,2140799,2141079,2140699,alveolar,stop,no,alveolar
iB_happy1,0,1,control_lip,phonemes,86,vC,i,b,2148798,2149134,2148698,alveolar,stop,no,alveolar
eP_happy1,0,2,control_lip,phonemes,87,vC,e,p,2156759,2157044,2156659,alveolar,stop,no,alveolar
Be_angry2,0,1,control_lip,phonemes,88,Cv,b,e,2164791,2164845,2164691,bilabial,stop,yes,bilabial
