Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_,single-phoneme,672978,672732,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_,single-phoneme,676852,676626,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_,single-phoneme,680792,680625,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_,single-phoneme,684787,684587,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_,single-phoneme,688771,688583,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_,single-phoneme,692873,692614,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_,single-phoneme,696790,696614,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_,single-phoneme,700751,700605,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_,single-phoneme,704756,704606,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_,single-phoneme,709122,708633,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_,single-phoneme,712780,712633,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_,single-phoneme,716816,716623,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_,single-phoneme,720801,720619,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_,single-phoneme,724763,724615,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_,single-phoneme,728792,728611,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_,single-phoneme,732841,732607,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_,single-phoneme,736806,736642,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_,single-phoneme,740820,740632,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_,single-phoneme,744741,744596,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_,single-phoneme,748776,748623,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_,single-phoneme,752910,752621,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_,single-phoneme,756865,756615,22,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_,single-phoneme,760766,760616,23,e,,,NaN,NaN,vowels,,,vowels
Oo3,0,NaN,control_,single-phoneme,764795,764609,24,o,,,NaN,NaN,vowels,,,vowels
Ee3,0,NaN,control_,single-phoneme,768766,768573,25,i,,,NaN,NaN,vowels,,,vowels
Ah3,0,NaN,control_,single-phoneme,772778,772568,26,a,,,NaN,NaN,vowels,,,vowels
Uh3,0,NaN,control_,single-phoneme,776738,776566,27,u,,,NaN,NaN,vowels,,,vowels
T3,0,NaN,control_,single-phoneme,780757,780593,28,t,,,NaN,NaN,alveolar,stop,no,alveolar
P3,0,NaN,control_,single-phoneme,784712,784557,29,p,,,NaN,NaN,bilabial,stop,no,bilabial
S3,0,NaN,control_,single-phoneme,788804,788553,30,s,,,NaN,NaN,alveolar,fricative,no,alveolar
D3,0,NaN,control_,single-phoneme,792706,792551,31,d,,,NaN,NaN,alveolar,stop,yes,alveolar
B3,0,NaN,control_,single-phoneme,796717,796577,32,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Z3,0,NaN,control_,single-phoneme,800802,800542,33,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
Uh4,0,NaN,control_,single-phoneme,804759,804536,34,u,,,NaN,NaN,vowels,,,vowels
Oo4,0,NaN,control_,single-phoneme,808694,808533,35,o,,,NaN,NaN,vowels,,,vowels
Ee4,0,NaN,control_,single-phoneme,813421,812566,36,i,,,NaN,NaN,vowels,,,vowels
Ah4,0,NaN,control_,single-phoneme,816814,816593,37,a,,,NaN,NaN,vowels,,,vowels
Eh4,0,NaN,control_,single-phoneme,820746,820590,38,e,,,NaN,NaN,vowels,,,vowels
S3,0,NaN,control_,single-phoneme,824835,824584,39,s,,,NaN,NaN,alveolar,fricative,no,alveolar
P3,0,NaN,control_,single-phoneme,828736,828581,40,p,,,NaN,NaN,bilabial,stop,no,bilabial
T3,0,NaN,control_,single-phoneme,832746,832582,41,t,,,NaN,NaN,alveolar,stop,no,alveolar
Z3,0,NaN,control_,single-phoneme,836833,836573,42,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
B3,0,NaN,control_,single-phoneme,840712,840572,43,b,,,NaN,NaN,bilabial,stop,yes,bilabial
D3,0,NaN,control_,single-phoneme,844720,844565,44,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Oo5,0,NaN,control_,single-phoneme,848715,848563,45,o,,,NaN,NaN,vowels,,,vowels
Ah5,0,NaN,control_,single-phoneme,852770,852588,46,a,,,NaN,NaN,vowels,,,vowels
Uh5,0,NaN,control_,single-phoneme,856708,856553,47,u,,,NaN,NaN,vowels,,,vowels
Eh5,0,NaN,control_,single-phoneme,860731,860549,48,e,,,NaN,NaN,vowels,,,vowels
Ee5,0,NaN,control_,single-phoneme,864699,864546,49,i,,,NaN,NaN,vowels,,,vowels
Z5,0,NaN,control_,single-phoneme,868731,868508,50,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P5,0,NaN,control_,single-phoneme,872688,872541,51,p,,,NaN,NaN,bilabial,stop,no,bilabial
D5,0,NaN,control_,single-phoneme,876713,876535,52,d,,,NaN,NaN,alveolar,stop,yes,alveolar
S5,0,NaN,control_,single-phoneme,880730,880531,53,s,,,NaN,NaN,alveolar,fricative,no,alveolar
T5,0,NaN,control_,single-phoneme,884706,884527,54,t,,,NaN,NaN,alveolar,stop,no,alveolar
B5,0,NaN,control_,single-phoneme,888673,888526,55,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Bo_happy1,1,7,tongue,phonemes,1362231,1362131,56,b,o,,1362285,NaN,bilabial,stop,yes,bilabial
Tu_happy1,0,5,control_tongue,phonemes,1367824,1367724,57,t,u,,1367920,NaN,alveolar,stop,no,alveolar
Do_happy1,1,4,tongue,phonemes,1373425,1373325,58,d,o,,1373477,NaN,alveolar,stop,yes,alveolar
Pa_happy1,1,8,tongue,phonemes,1379016,1378916,59,p,a,,1379154,NaN,bilabial,stop,no,bilabial
Pe_angry2,1,8,tongue,phonemes,1384642,1384542,60,p,e,,1384788,NaN,bilabial,stop,no,bilabial
Be_happy1,1,7,tongue,phonemes,1390242,1390142,61,b,e,,1390296,NaN,bilabial,stop,yes,bilabial
Da_happy2,0,4,control_tongue,phonemes,1395833,1395733,62,d,a,,1395888,NaN,alveolar,stop,yes,alveolar
Po_angry2,1,8,tongue,phonemes,1401426,1401326,63,p,o,,1401511,NaN,bilabial,stop,no,bilabial
Bi_angry1,0,7,control_tongue,phonemes,1407023,1406923,64,b,i,,1407085,NaN,bilabial,stop,yes,bilabial
Ti_happy2,1,5,tongue,phonemes,1412616,1412516,65,t,i,,1412708,NaN,alveolar,stop,no,alveolar
Di_happy1,0,4,control_tongue,phonemes,1418215,1418115,66,d,i,,1418298,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,tongue,phonemes,1423804,1423704,67,b,i,,1423858,NaN,bilabial,stop,yes,bilabial
Da_angry1,1,4,tongue,phonemes,1429399,1429299,68,d,a,,1429453,NaN,alveolar,stop,yes,alveolar
Ta_angry2,1,5,tongue,phonemes,1434994,1434894,69,t,a,,1435079,NaN,alveolar,stop,no,alveolar
De_angry1,1,4,tongue,phonemes,1440587,1440487,70,d,e,,1440633,NaN,alveolar,stop,yes,alveolar
Bo_angry1,0,7,control_tongue,phonemes,1446183,1446083,71,b,o,,1446237,NaN,bilabial,stop,yes,bilabial
Du_happy2,1,4,tongue,phonemes,1451777,1451677,72,d,u,,1451857,NaN,alveolar,stop,yes,alveolar
Po_happy2,1,8,tongue,phonemes,1457372,1457272,73,p,o,,1457452,NaN,bilabial,stop,no,bilabial
Bu_angry1,1,7,tongue,phonemes,1462966,1462866,74,b,u,,1463035,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_tongue,phonemes,1468593,1468493,75,t,e,,1468706,NaN,alveolar,stop,no,alveolar
Pu_angry2,1,8,tongue,phonemes,1474227,1474127,76,p,u,,1474342,NaN,bilabial,stop,no,bilabial
Du_angry1,1,4,tongue,phonemes,1479851,1479751,77,d,u,,1479936,NaN,alveolar,stop,yes,alveolar
Pe_angry1,1,8,tongue,phonemes,1485445,1485345,78,p,e,,1485594,NaN,bilabial,stop,no,bilabial
Di_angry2,1,4,tongue,phonemes,1491044,1490944,79,d,i,,1491133,NaN,alveolar,stop,yes,alveolar
Pi_happy1,1,8,tongue,phonemes,1496633,1496533,80,p,i,,1496692,NaN,bilabial,stop,no,bilabial
Ta_angry1,0,5,control_tongue,phonemes,1502233,1502133,81,t,a,,1502341,NaN,alveolar,stop,no,alveolar
Be_angry1,1,7,tongue,phonemes,1507824,1507724,82,b,e,,1507877,NaN,bilabial,stop,yes,bilabial
Pi_happy2,1,8,tongue,phonemes,1513416,1513316,83,p,i,,1513516,NaN,bilabial,stop,no,bilabial
Da_happy1,1,4,tongue,phonemes,1519012,1518912,84,d,a,,1519088,NaN,alveolar,stop,yes,alveolar
Bu_angry2,1,7,tongue,phonemes,1524606,1524506,85,b,u,,1524675,NaN,bilabial,stop,yes,bilabial
Bo_angry2,1,7,tongue,phonemes,1530203,1530103,86,b,o,,1530257,NaN,bilabial,stop,yes,bilabial
De_angry2,0,4,control_tongue,phonemes,1535794,1535694,87,d,e,,1535841,NaN,alveolar,stop,yes,alveolar
Tu_happy2,1,5,tongue,phonemes,1541391,1541291,88,t,u,,1541490,NaN,alveolar,stop,no,alveolar
Pa_angry2,0,8,control_tongue,phonemes,1546984,1546884,89,p,a,,1547073,NaN,bilabial,stop,no,bilabial
De_happy2,1,4,tongue,phonemes,1552584,1552484,90,d,e,,1552635,NaN,alveolar,stop,yes,alveolar
Ti_happy1,1,5,tongue,phonemes,1558174,1558074,91,t,i,,1558269,NaN,alveolar,stop,no,alveolar
Pa_angry1,1,8,tongue,phonemes,1563802,1563702,92,p,a,,1563936,NaN,bilabial,stop,no,bilabial
Pe_happy2,0,8,control_tongue,phonemes,1569394,1569294,93,p,e,,1569537,NaN,bilabial,stop,no,bilabial
Bi_happy1,1,7,tongue,phonemes,1574991,1574891,94,b,i,,1575045,NaN,bilabial,stop,yes,bilabial
Tu_angry2,1,5,tongue,phonemes,1580587,1580487,95,t,u,,1580700,NaN,alveolar,stop,no,alveolar
Bu_happy1,0,7,control_tongue,phonemes,1586213,1586113,96,b,u,,1586280,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,tongue,phonemes,1591842,1591742,97,d,o,,1591895,NaN,alveolar,stop,yes,alveolar
To_happy2,1,5,tongue,phonemes,1597444,1597344,98,t,o,,1597531,NaN,alveolar,stop,no,alveolar
Po_happy1,0,8,control_tongue,phonemes,1603029,1602929,99,p,o,,1603124,NaN,bilabial,stop,no,bilabial
Ti_angry1,0,5,control_tongue,phonemes,1608624,1608524,100,t,i,,1608798,NaN,alveolar,stop,no,alveolar
Pu_angry1,0,8,control_tongue,phonemes,1614225,1614125,101,p,u,,1614308,NaN,bilabial,stop,no,bilabial
Do_happy2,0,4,control_tongue,phonemes,1619813,1619713,102,d,o,,1619865,NaN,alveolar,stop,yes,alveolar
Ta_happy2,1,5,tongue,phonemes,1625409,1625309,103,t,a,,1625479,NaN,alveolar,stop,no,alveolar
Ba_angry1,0,7,control_tongue,phonemes,1631049,1630949,104,b,a,,1631102,NaN,bilabial,stop,yes,bilabial
Pu_happy2,1,8,tongue,phonemes,1636635,1636535,105,p,u,,1636717,NaN,bilabial,stop,no,bilabial
Di_angry1,1,4,tongue,phonemes,1642235,1642135,106,d,i,,1642321,NaN,alveolar,stop,yes,alveolar
To_angry2,1,5,tongue,phonemes,1647820,1647720,107,t,o,,1647918,NaN,alveolar,stop,no,alveolar
Pi_angry1,0,8,control_tongue,phonemes,1653414,1653314,108,p,i,,1653579,NaN,bilabial,stop,no,bilabial
Ba_happy1,1,7,tongue,phonemes,1659046,1658946,109,b,a,,1659128,NaN,bilabial,stop,yes,bilabial
To_angry1,0,5,control_tongue,phonemes,1664645,1664545,110,t,o,,1664730,NaN,alveolar,stop,no,alveolar
Te_angry1,1,5,tongue,phonemes,1670276,1670176,111,t,e,,1670389,NaN,alveolar,stop,no,alveolar
Be_happy2,0,7,control_tongue,phonemes,1675859,1675759,112,b,e,,1676004,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,tongue,phonemes,1681455,1681355,113,t,e,,1681567,NaN,alveolar,stop,no,alveolar
Ba_angry2,1,7,tongue,phonemes,1687051,1686951,114,b,a,,1687104,NaN,bilabial,stop,yes,bilabial
Du_angry2,0,4,control_tongue,phonemes,1692675,1692575,115,d,u,,1692761,NaN,alveolar,stop,yes,alveolar
Pe_happy1,1,8,tongue,phonemes,1730274,1730174,116,p,e,,1730375,NaN,bilabial,stop,no,bilabial
