Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Bo_happy1,1,7,lip,phonemes,181033,180933,1,b,o,,181087,NaN,bilabial,stop,yes,bilabial
Tu_happy1,0,5,control_lip,phonemes,186627,186527,2,t,u,,186723,NaN,alveolar,stop,no,alveolar
Do_happy1,1,4,lip,phonemes,192222,192122,3,d,o,,192274,NaN,alveolar,stop,yes,alveolar
Pa_happy1,1,8,lip,phonemes,197818,197718,4,p,a,,197956,NaN,bilabial,stop,no,bilabial
Pe_angry2,1,8,lip,phonemes,203412,203312,5,p,e,,203558,NaN,bilabial,stop,no,bilabial
Be_happy1,1,7,lip,phonemes,209005,208905,6,b,e,,209059,NaN,bilabial,stop,yes,bilabial
Da_happy2,0,4,control_lip,phonemes,214600,214500,7,d,a,,214655,NaN,alveolar,stop,yes,alveolar
Po_angry2,1,8,lip,phonemes,220196,220096,8,p,o,,220281,NaN,bilabial,stop,no,bilabial
Bi_angry1,0,7,control_lip,phonemes,225790,225690,9,b,i,,225852,NaN,bilabial,stop,yes,bilabial
Ti_happy2,1,5,lip,phonemes,231385,231285,10,t,i,,231477,NaN,alveolar,stop,no,alveolar
Di_happy1,0,4,control_lip,phonemes,236979,236879,11,d,i,,237062,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,lip,phonemes,242573,242473,12,b,i,,242627,NaN,bilabial,stop,yes,bilabial
Da_angry1,1,4,lip,phonemes,248168,248068,13,d,a,,248222,NaN,alveolar,stop,yes,alveolar
Ta_angry2,1,5,lip,phonemes,253764,253664,14,t,a,,253849,NaN,alveolar,stop,no,alveolar
De_angry1,1,4,lip,phonemes,259357,259257,15,d,e,,259403,NaN,alveolar,stop,yes,alveolar
Bo_angry1,0,7,control_lip,phonemes,264952,264852,16,b,o,,265006,NaN,bilabial,stop,yes,bilabial
Du_happy2,1,4,lip,phonemes,270547,270447,17,d,u,,270627,NaN,alveolar,stop,yes,alveolar
Po_happy2,1,8,lip,phonemes,276143,276043,18,p,o,,276223,NaN,bilabial,stop,no,bilabial
Bu_angry1,1,7,lip,phonemes,281738,281638,19,b,u,,281807,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_lip,phonemes,287331,287231,20,t,e,,287444,NaN,alveolar,stop,no,alveolar
Pu_angry2,1,8,lip,phonemes,292926,292826,21,p,u,,293041,NaN,bilabial,stop,no,bilabial
Du_angry1,1,4,lip,phonemes,298521,298421,22,d,u,,298606,NaN,alveolar,stop,yes,alveolar
Pe_angry1,1,8,lip,phonemes,304114,304014,23,p,e,,304263,NaN,bilabial,stop,no,bilabial
Di_angry2,1,4,lip,phonemes,309709,309609,24,d,i,,309798,NaN,alveolar,stop,yes,alveolar
Pi_happy1,1,8,lip,phonemes,315304,315204,25,p,i,,315363,NaN,bilabial,stop,no,bilabial
Ta_angry1,0,5,control_lip,phonemes,320897,320797,26,t,a,,321005,NaN,alveolar,stop,no,alveolar
Be_angry1,1,7,lip,phonemes,326493,326393,27,b,e,,326546,NaN,bilabial,stop,yes,bilabial
Pi_happy2,1,8,lip,phonemes,332087,331987,28,p,i,,332187,NaN,bilabial,stop,no,bilabial
Da_happy1,1,4,lip,phonemes,337683,337583,29,d,a,,337759,NaN,alveolar,stop,yes,alveolar
Bu_angry2,1,7,lip,phonemes,343276,343176,30,b,u,,343345,NaN,bilabial,stop,yes,bilabial
Bo_angry2,1,7,lip,phonemes,348872,348772,31,b,o,,348926,NaN,bilabial,stop,yes,bilabial
De_angry2,0,4,control_lip,phonemes,354465,354365,32,d,e,,354512,NaN,alveolar,stop,yes,alveolar
Tu_happy2,1,5,lip,phonemes,360061,359961,33,t,u,,360160,NaN,alveolar,stop,no,alveolar
Pa_angry2,0,8,control_lip,phonemes,365685,365585,34,p,a,,365774,NaN,bilabial,stop,no,bilabial
De_happy2,1,4,lip,phonemes,371282,371182,35,d,e,,371333,NaN,alveolar,stop,yes,alveolar
Ti_happy1,1,5,lip,phonemes,376877,376777,36,t,i,,376972,NaN,alveolar,stop,no,alveolar
Pa_angry1,1,8,lip,phonemes,382472,382372,37,p,a,,382606,NaN,bilabial,stop,no,bilabial
Pe_happy2,0,8,control_lip,phonemes,388065,387965,38,p,e,,388208,NaN,bilabial,stop,no,bilabial
Bi_happy1,1,7,lip,phonemes,393660,393560,39,b,i,,393714,NaN,bilabial,stop,yes,bilabial
Tu_angry2,1,5,lip,phonemes,399255,399155,40,t,u,,399368,NaN,alveolar,stop,no,alveolar
Bu_happy1,0,7,control_lip,phonemes,404850,404750,41,b,u,,404917,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,lip,phonemes,410445,410345,42,d,o,,410498,NaN,alveolar,stop,yes,alveolar
To_happy2,1,5,lip,phonemes,416040,415940,43,t,o,,416127,NaN,alveolar,stop,no,alveolar
Po_happy1,0,8,control_lip,phonemes,421632,421532,44,p,o,,421727,NaN,bilabial,stop,no,bilabial
Ti_angry1,0,5,control_lip,phonemes,427228,427128,45,t,i,,427402,NaN,alveolar,stop,no,alveolar
Pu_angry1,0,8,control_lip,phonemes,432823,432723,46,p,u,,432906,NaN,bilabial,stop,no,bilabial
Do_happy2,0,4,control_lip,phonemes,438416,438316,47,d,o,,438468,NaN,alveolar,stop,yes,alveolar
Ta_happy2,1,5,lip,phonemes,444013,443913,48,t,a,,444083,NaN,alveolar,stop,no,alveolar
Ba_angry1,0,7,control_lip,phonemes,449606,449506,49,b,a,,449659,NaN,bilabial,stop,yes,bilabial
Pu_happy2,1,8,lip,phonemes,455202,455102,50,p,u,,455284,NaN,bilabial,stop,no,bilabial
Di_angry1,1,4,lip,phonemes,460795,460695,51,d,i,,460881,NaN,alveolar,stop,yes,alveolar
To_angry2,1,5,lip,phonemes,466389,466289,52,t,o,,466487,NaN,alveolar,stop,no,alveolar
Pi_angry1,0,8,control_lip,phonemes,471983,471883,53,p,i,,472148,NaN,bilabial,stop,no,bilabial
Ba_happy1,1,7,lip,phonemes,477580,477480,54,b,a,,477662,NaN,bilabial,stop,yes,bilabial
To_angry1,0,5,control_lip,phonemes,483173,483073,55,t,o,,483258,NaN,alveolar,stop,no,alveolar
Te_angry1,1,5,lip,phonemes,488769,488669,56,t,e,,488882,NaN,alveolar,stop,no,alveolar
Be_happy2,0,7,control_lip,phonemes,494363,494263,57,b,e,,494508,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,lip,phonemes,499958,499858,58,t,e,,500070,NaN,alveolar,stop,no,alveolar
Ba_angry2,1,7,lip,phonemes,505553,505453,59,b,a,,505606,NaN,bilabial,stop,yes,bilabial
Du_angry2,0,4,control_lip,phonemes,511146,511046,60,d,u,,511232,NaN,alveolar,stop,yes,alveolar
Pe_happy1,1,8,lip,phonemes,548711,548611,61,p,e,,548812,NaN,bilabial,stop,no,bilabial
