Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_,single-phoneme,170409,170163,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_,single-phoneme,174284,174058,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_,single-phoneme,178188,178021,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_,single-phoneme,182251,182051,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_,single-phoneme,186236,186048,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_,single-phoneme,190336,190077,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_,single-phoneme,194247,194071,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_,single-phoneme,198182,198036,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_,single-phoneme,202181,202031,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_,single-phoneme,206547,206058,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_,single-phoneme,210172,210025,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_,single-phoneme,214213,214020,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_,single-phoneme,218198,218016,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_,single-phoneme,222163,222015,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_,single-phoneme,226189,226008,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_,single-phoneme,230239,230005,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_,single-phoneme,234197,234033,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_,single-phoneme,238184,237996,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_,single-phoneme,242139,241994,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_,single-phoneme,246143,245990,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_,single-phoneme,250274,249985,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_,single-phoneme,254230,253980,22,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_,single-phoneme,258127,257977,23,e,,,NaN,NaN,vowels,,,vowels
