Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_lip,single-phoneme,100658,100412,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_lip,single-phoneme,104568,104342,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_lip,single-phoneme,108507,108340,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_lip,single-phoneme,112535,112335,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_lip,single-phoneme,116520,116332,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_lip,single-phoneme,120586,120327,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_lip,single-phoneme,124499,124323,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_lip,single-phoneme,128467,128321,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_lip,single-phoneme,132465,132315,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_lip,single-phoneme,136801,136312,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_lip,single-phoneme,140453,140306,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_lip,single-phoneme,144498,144305,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_lip,single-phoneme,148512,148330,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_lip,single-phoneme,152475,152327,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_lip,single-phoneme,156504,156323,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_lip,single-phoneme,160555,160321,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_lip,single-phoneme,164480,164316,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_lip,single-phoneme,168501,168313,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_lip,single-phoneme,172455,172310,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_lip,single-phoneme,176457,176304,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_lip,single-phoneme,180590,180301,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_lip,single-phoneme,184579,184329,22,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_lip,single-phoneme,188442,188292,23,e,,,NaN,NaN,vowels,,,vowels
Oo3,0,NaN,control_lip,single-phoneme,192476,192290,24,o,,,NaN,NaN,vowels,,,vowels
Ee3,0,NaN,control_lip,single-phoneme,196479,196286,25,i,,,NaN,NaN,vowels,,,vowels
Ah3,0,NaN,control_lip,single-phoneme,200492,200282,26,a,,,NaN,NaN,vowels,,,vowels
Uh3,0,NaN,control_lip,single-phoneme,204449,204277,27,u,,,NaN,NaN,vowels,,,vowels
T3,0,NaN,control_lip,single-phoneme,208439,208275,28,t,,,NaN,NaN,alveolar,stop,no,alveolar
P3,0,NaN,control_lip,single-phoneme,212425,212270,29,p,,,NaN,NaN,bilabial,stop,no,bilabial
S3,0,NaN,control_lip,single-phoneme,216550,216299,30,s,,,NaN,NaN,alveolar,fricative,no,alveolar
D3,0,NaN,control_lip,single-phoneme,220450,220295,31,d,,,NaN,NaN,alveolar,stop,yes,alveolar
B3,0,NaN,control_lip,single-phoneme,224397,224257,32,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Z3,0,NaN,control_lip,single-phoneme,228480,228220,33,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
Uh4,0,NaN,control_lip,single-phoneme,232474,232251,34,u,,,NaN,NaN,vowels,,,vowels
Oo4,0,NaN,control_lip,single-phoneme,236407,236246,35,o,,,NaN,NaN,vowels,,,vowels
Ee4,0,NaN,control_lip,single-phoneme,241097,240242,36,i,,,NaN,NaN,vowels,,,vowels
Ah4,0,NaN,control_lip,single-phoneme,244491,244270,37,a,,,NaN,NaN,vowels,,,vowels
Eh4,0,NaN,control_lip,single-phoneme,248390,248234,38,e,,,NaN,NaN,vowels,,,vowels
S3,0,NaN,control_lip,single-phoneme,252514,252263,39,s,,,NaN,NaN,alveolar,fricative,no,alveolar
P3,0,NaN,control_lip,single-phoneme,256415,256260,40,p,,,NaN,NaN,bilabial,stop,no,bilabial
T3,0,NaN,control_lip,single-phoneme,260388,260224,41,t,,,NaN,NaN,alveolar,stop,no,alveolar
Z3,0,NaN,control_lip,single-phoneme,264480,264220,42,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
B3,0,NaN,control_lip,single-phoneme,268356,268216,43,b,,,NaN,NaN,bilabial,stop,yes,bilabial
D3,0,NaN,control_lip,single-phoneme,272366,272211,44,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Oo5,0,NaN,control_lip,single-phoneme,276360,276208,45,o,,,NaN,NaN,vowels,,,vowels
Ah5,0,NaN,control_lip,single-phoneme,280386,280204,46,a,,,NaN,NaN,vowels,,,vowels
Uh5,0,NaN,control_lip,single-phoneme,284354,284199,47,u,,,NaN,NaN,vowels,,,vowels
Eh5,0,NaN,control_lip,single-phoneme,288378,288196,48,e,,,NaN,NaN,vowels,,,vowels
Ee5,0,NaN,control_lip,single-phoneme,292345,292192,49,i,,,NaN,NaN,vowels,,,vowels
Z5,0,NaN,control_lip,single-phoneme,296411,296188,50,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P5,0,NaN,control_lip,single-phoneme,300332,300185,51,p,,,NaN,NaN,bilabial,stop,no,bilabial
D5,0,NaN,control_lip,single-phoneme,304359,304181,52,d,,,NaN,NaN,alveolar,stop,yes,alveolar
S5,0,NaN,control_lip,single-phoneme,308408,308209,53,s,,,NaN,NaN,alveolar,fricative,no,alveolar
T5,0,NaN,control_lip,single-phoneme,312351,312172,54,t,,,NaN,NaN,alveolar,stop,no,alveolar
B5,0,NaN,control_lip,single-phoneme,316316,316169,55,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Bo_happy1,1,7,lip,phonemes,378244,378144,56,b,o,,378298,NaN,bilabial,stop,yes,bilabial
Tu_happy1,0,5,control_lip,phonemes,383837,383737,57,t,u,,383933,NaN,alveolar,stop,no,alveolar
Do_happy1,1,4,lip,phonemes,389434,389334,58,d,o,,389486,NaN,alveolar,stop,yes,alveolar
Pa_happy1,1,8,lip,phonemes,395029,394929,59,p,a,,395167,NaN,bilabial,stop,no,bilabial
Pe_angry2,1,8,lip,phonemes,400623,400523,60,p,e,,400769,NaN,bilabial,stop,no,bilabial
Be_happy1,1,7,lip,phonemes,406217,406117,61,b,e,,406271,NaN,bilabial,stop,yes,bilabial
Da_happy2,0,4,control_lip,phonemes,411809,411709,62,d,a,,411864,NaN,alveolar,stop,yes,alveolar
Po_angry2,1,8,lip,phonemes,417406,417306,63,p,o,,417491,NaN,bilabial,stop,no,bilabial
Bi_angry1,0,7,control_lip,phonemes,423001,422901,64,b,i,,423063,NaN,bilabial,stop,yes,bilabial
Ti_happy2,1,5,lip,phonemes,428595,428495,65,t,i,,428687,NaN,alveolar,stop,no,alveolar
Di_happy1,0,4,control_lip,phonemes,434190,434090,66,d,i,,434273,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,lip,phonemes,439784,439684,67,b,i,,439838,NaN,bilabial,stop,yes,bilabial
Da_angry1,1,4,lip,phonemes,445379,445279,68,d,a,,445433,NaN,alveolar,stop,yes,alveolar
Ta_angry2,1,5,lip,phonemes,450973,450873,69,t,a,,451058,NaN,alveolar,stop,no,alveolar
De_angry1,1,4,lip,phonemes,456569,456469,70,d,e,,456615,NaN,alveolar,stop,yes,alveolar
Bo_angry1,0,7,control_lip,phonemes,462162,462062,71,b,o,,462216,NaN,bilabial,stop,yes,bilabial
Du_happy2,1,4,lip,phonemes,467757,467657,72,d,u,,467837,NaN,alveolar,stop,yes,alveolar
Po_happy2,1,8,lip,phonemes,473351,473251,73,p,o,,473431,NaN,bilabial,stop,no,bilabial
Bu_angry1,1,7,lip,phonemes,478948,478848,74,b,u,,479017,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_lip,phonemes,484541,484441,75,t,e,,484654,NaN,alveolar,stop,no,alveolar
Pu_angry2,1,8,lip,phonemes,490154,490054,76,p,u,,490269,NaN,bilabial,stop,no,bilabial
Du_angry1,1,4,lip,phonemes,495764,495664,77,d,u,,495849,NaN,alveolar,stop,yes,alveolar
Pe_angry1,1,8,lip,phonemes,501358,501258,78,p,e,,501507,NaN,bilabial,stop,no,bilabial
Di_angry2,1,4,lip,phonemes,506952,506852,79,d,i,,507041,NaN,alveolar,stop,yes,alveolar
Pi_happy1,1,8,lip,phonemes,512548,512448,80,p,i,,512607,NaN,bilabial,stop,no,bilabial
Ta_angry1,0,5,control_lip,phonemes,518140,518040,81,t,a,,518248,NaN,alveolar,stop,no,alveolar
Be_angry1,1,7,lip,phonemes,523737,523637,82,b,e,,523790,NaN,bilabial,stop,yes,bilabial
Pi_happy2,1,8,lip,phonemes,529331,529231,83,p,i,,529431,NaN,bilabial,stop,no,bilabial
