Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,tongue,phonemes,1,vC,u,d,834253,834597,834153,alveolar,stop,no,alveolar
aD_angry1,1,3,tongue,phonemes,2,vC,a,d,842212,842445,842112,alveolar,stop,no,alveolar
Pu_angry2,1,2,tongue,phonemes,3,Cv,p,u,850203,850318,850103,bilabial,stop,no,bilabial
iT_angry2,0,4,control_tongue,phonemes,4,vC,i,t,858204,858448,858104,alveolar,stop,no,alveolar
Bo_angry2,1,1,tongue,phonemes,5,Cv,b,o,866222,866276,866122,bilabial,stop,yes,bilabial
iD_happy1,1,3,tongue,phonemes,6,vC,i,d,874247,874568,874147,alveolar,stop,no,alveolar
eB_angry1,1,1,tongue,phonemes,7,vC,e,b,882206,882526,882106,alveolar,stop,no,alveolar
aD_happy1,1,3,tongue,phonemes,8,vC,a,d,890265,890522,890165,alveolar,stop,no,alveolar
eT_happy2,0,4,control_tongue,phonemes,9,vC,e,t,899688,899951,899588,alveolar,stop,no,alveolar
Da_happy1,1,3,tongue,phonemes,10,Cv,d,a,914242,914318,914142,alveolar,stop,yes,alveolar
Bi_happy1,1,1,tongue,phonemes,11,Cv,b,i,922267,922321,922167,bilabial,stop,yes,bilabial
Be_angry1,1,1,tongue,phonemes,12,Cv,b,e,930226,930279,930126,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_tongue,phonemes,13,Cv,p,u,938222,938305,938122,bilabial,stop,no,bilabial
uT_angry1,1,4,tongue,phonemes,14,vC,u,t,946246,946565,946146,alveolar,stop,no,alveolar
iD_happy2,0,3,control_tongue,phonemes,17,vC,i,d,994245,994584,994145,alveolar,stop,no,alveolar
Te_angry1,1,4,tongue,phonemes,18,Cv,t,e,1002256,1002369,1002156,alveolar,stop,no,alveolar
Ba_angry2,1,1,tongue,phonemes,19,Cv,b,a,1010249,1010302,1010149,bilabial,stop,yes,bilabial
oD_angry1,0,3,control_tongue,phonemes,20,vC,o,d,1018184,1018603,1018084,alveolar,stop,no,alveolar
Di_angry2,1,3,tongue,phonemes,21,Cv,d,i,1026267,1026356,1026167,alveolar,stop,yes,alveolar
Bu_angry1,1,1,tongue,phonemes,22,Cv,b,u,1034257,1034326,1034157,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_tongue,phonemes,23,Cv,p,e,1042212,1042358,1042112,bilabial,stop,no,bilabial
Ti_happy1,1,4,tongue,phonemes,24,Cv,t,i,1050243,1050338,1050143,alveolar,stop,no,alveolar
uP_happy1,1,2,tongue,phonemes,25,vC,u,p,1058270,1058551,1058170,alveolar,stop,no,alveolar
uB_angry2,0,1,control_tongue,phonemes,26,vC,u,b,1066194,1066533,1066094,alveolar,stop,no,alveolar
Do_angry1,1,3,tongue,phonemes,27,Cv,d,o,1090238,1090291,1090138,alveolar,stop,yes,alveolar
De_happy2,1,3,tongue,phonemes,28,Cv,d,e,1106188,1106239,1106088,alveolar,stop,yes,alveolar
oT_angry1,0,4,control_tongue,phonemes,29,vC,o,t,1114228,1114559,1114128,alveolar,stop,no,alveolar
Da_happy2,1,3,tongue,phonemes,30,Cv,d,a,1122240,1122295,1122140,alveolar,stop,yes,alveolar
Be_happy1,1,1,tongue,phonemes,31,Cv,b,e,1130231,1130285,1130131,bilabial,stop,yes,bilabial
iB_happy2,1,1,tongue,phonemes,32,vC,i,b,1138258,1138582,1138158,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_tongue,phonemes,33,Cv,p,i,1146250,1146350,1146150,bilabial,stop,no,bilabial
Bi_happy2,1,1,tongue,phonemes,34,Cv,b,i,1154243,1154297,1154143,bilabial,stop,yes,bilabial
iP_angry2,1,2,tongue,phonemes,35,vC,i,p,1162267,1162588,1162167,alveolar,stop,no,alveolar
eT_angry2,1,4,tongue,phonemes,36,vC,e,t,1170260,1170550,1170160,alveolar,stop,no,alveolar
oD_angry2,0,3,control_tongue,phonemes,37,vC,o,d,1178259,1178670,1178159,alveolar,stop,no,alveolar
