Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,tongue,phonemes,1,vC,u,d,622723,623067,622623,alveolar,stop,no,alveolar
aD_angry1,1,3,tongue,phonemes,2,vC,a,d,630682,630915,630582,alveolar,stop,no,alveolar
Pu_angry2,1,2,tongue,phonemes,3,Cv,p,u,638707,638822,638607,bilabial,stop,no,bilabial
Bo_angry2,1,1,tongue,phonemes,5,Cv,b,o,654692,654746,654592,bilabial,stop,yes,bilabial
iD_happy1,1,3,tongue,phonemes,6,vC,i,d,662685,663006,662585,alveolar,stop,no,alveolar
eB_angry1,1,1,tongue,phonemes,7,vC,e,b,670710,671030,670610,alveolar,stop,no,alveolar
Bi_happy1,1,1,tongue,phonemes,12,Cv,b,i,710703,710757,710603,bilabial,stop,yes,bilabial
Be_angry1,1,1,tongue,phonemes,13,Cv,b,e,718731,718784,718631,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_tongue,phonemes,14,Cv,p,u,726691,726774,726591,bilabial,stop,no,bilabial
uT_angry1,1,4,tongue,phonemes,15,vC,u,t,734681,735000,734581,alveolar,stop,no,alveolar
Di_angry1,1,3,tongue,phonemes,16,Cv,d,i,742705,742791,742605,alveolar,stop,yes,alveolar
eB_happy2,0,1,control_tongue,phonemes,18,vC,e,b,758723,758965,758623,alveolar,stop,no,alveolar
Do_happy2,0,3,control_tongue,phonemes,19,Cv,d,o,766712,766764,766612,alveolar,stop,yes,alveolar
Pu_happy2,1,2,tongue,phonemes,20,Cv,p,u,774709,774791,774609,bilabial,stop,no,bilabial
iD_happy2,0,3,control_tongue,phonemes,21,vC,i,d,782720,783059,782620,alveolar,stop,no,alveolar
Te_angry1,1,4,tongue,phonemes,22,Cv,t,e,790727,790840,790627,alveolar,stop,no,alveolar
Ba_angry2,1,1,tongue,phonemes,23,Cv,b,a,798684,798737,798584,bilabial,stop,yes,bilabial
Di_angry2,1,3,tongue,phonemes,25,Cv,d,i,814702,814791,814602,alveolar,stop,yes,alveolar
Bu_angry1,1,1,tongue,phonemes,26,Cv,b,u,822694,822763,822594,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_tongue,phonemes,27,Cv,p,e,830692,830838,830592,bilabial,stop,no,bilabial
Ti_happy1,1,4,tongue,phonemes,28,Cv,t,i,838712,838807,838612,alveolar,stop,no,alveolar
uP_happy1,1,2,tongue,phonemes,29,vC,u,p,846705,846986,846605,alveolar,stop,no,alveolar
uB_angry2,0,1,control_tongue,phonemes,30,vC,u,b,854690,855029,854590,alveolar,stop,no,alveolar
iT_happy2,1,4,tongue,phonemes,31,vC,i,t,862689,862964,862589,alveolar,stop,no,alveolar
uP_angry1,0,2,control_tongue,phonemes,32,vC,u,p,870675,871017,870575,alveolar,stop,no,alveolar
Do_angry1,1,3,tongue,phonemes,33,Cv,d,o,878707,878760,878607,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_tongue,phonemes,34,Cv,b,i,886716,886778,886616,bilabial,stop,yes,bilabial
De_happy2,1,3,tongue,phonemes,35,Cv,d,e,894692,894743,894592,alveolar,stop,yes,alveolar
Da_happy2,1,3,tongue,phonemes,37,Cv,d,a,910709,910764,910609,alveolar,stop,yes,alveolar
Be_happy1,1,1,tongue,phonemes,38,Cv,b,e,918702,918756,918602,bilabial,stop,yes,bilabial
iB_happy2,1,1,tongue,phonemes,39,vC,i,b,926694,927018,926594,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_tongue,phonemes,40,Cv,p,i,934692,934792,934592,bilabial,stop,no,bilabial
Bi_happy2,1,1,tongue,phonemes,41,Cv,b,i,942712,942766,942612,bilabial,stop,yes,bilabial
iP_angry2,1,2,tongue,phonemes,42,vC,i,p,950703,951024,950603,alveolar,stop,no,alveolar
eT_angry2,1,4,tongue,phonemes,43,vC,e,t,958695,958985,958595,alveolar,stop,no,alveolar
oD_angry2,0,3,control_tongue,phonemes,44,vC,o,d,966682,967093,966582,alveolar,stop,no,alveolar
Da_angry1,1,3,tongue,phonemes,45,Cv,d,a,974714,974768,974614,alveolar,stop,yes,alveolar
Be_happy2,0,1,control_tongue,phonemes,46,Cv,b,e,982718,982863,982618,bilabial,stop,yes,bilabial
Pa_happy1,1,2,tongue,phonemes,47,Cv,p,a,990698,990836,990598,bilabial,stop,no,bilabial
aP_angry1,1,2,tongue,phonemes,48,vC,a,p,998691,999025,998591,alveolar,stop,no,alveolar
uD_angry2,1,3,tongue,phonemes,49,vC,u,d,1006682,1007047,1006582,alveolar,stop,no,alveolar
Ta_angry1,0,4,control_tongue,phonemes,50,Cv,t,a,1014713,1014821,1014613,alveolar,stop,no,alveolar
eB_happy1,1,1,tongue,phonemes,51,vC,e,b,1022700,1022945,1022600,alveolar,stop,no,alveolar
oP_angry2,0,2,control_tongue,phonemes,52,vC,o,p,1030687,NaN,1030587,alveolar,stop,no,alveolar
Te_happy1,0,4,control_tongue,phonemes,53,Cv,t,e,1038708,1038821,1038608,alveolar,stop,no,alveolar
aP_happy2,1,2,tongue,phonemes,54,vC,a,p,1046710,1046990,1046610,alveolar,stop,no,alveolar
Bo_angry1,0,1,control_tongue,phonemes,55,Cv,b,o,1054700,1054754,1054600,bilabial,stop,yes,bilabial
aB_angry2,0,1,control_tongue,phonemes,57,vC,a,b,1070692,1071032,1070592,alveolar,stop,no,alveolar
Po_happy1,0,2,control_tongue,phonemes,58,Cv,p,o,1078721,1078816,1078621,bilabial,stop,no,bilabial
aD_angry2,1,3,tongue,phonemes,59,vC,a,d,1086740,1087063,1086640,alveolar,stop,no,alveolar
iP_angry1,1,2,tongue,phonemes,60,vC,i,p,1094697,1095024,1094597,alveolar,stop,no,alveolar
oT_happy2,1,4,tongue,phonemes,61,vC,o,t,1134724,1135065,1134624,alveolar,stop,no,alveolar
Ti_happy2,1,4,tongue,phonemes,62,Cv,t,i,1142684,1142776,1142584,alveolar,stop,no,alveolar
De_angry1,0,3,control_tongue,phonemes,63,Cv,d,e,1150710,1150756,1150610,alveolar,stop,yes,alveolar
uB_angry1,1,1,tongue,phonemes,64,vC,u,b,1158702,1159039,1158602,alveolar,stop,no,alveolar
