Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_tongue,single-phoneme,517187,516941,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_tongue,single-phoneme,521131,520905,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_tongue,single-phoneme,525067,524900,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_tongue,single-phoneme,529095,528895,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_tongue,single-phoneme,533048,532860,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_tongue,single-phoneme,537150,536891,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_tongue,single-phoneme,541029,540853,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_tongue,single-phoneme,544994,544848,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_tongue,single-phoneme,548997,548847,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_tongue,single-phoneme,553329,552840,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_tongue,single-phoneme,556987,556840,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_tongue,single-phoneme,561058,560865,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_tongue,single-phoneme,565044,564862,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_tongue,single-phoneme,568975,568827,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_tongue,single-phoneme,573036,572855,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_tongue,single-phoneme,577051,576817,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_tongue,single-phoneme,580979,580815,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_tongue,single-phoneme,584998,584810,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_tongue,single-phoneme,588954,588809,19,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_tongue,single-phoneme,592957,592804,20,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_tongue,single-phoneme,597087,596798,21,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_tongue,single-phoneme,601045,600795,22,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_tongue,single-phoneme,604940,604790,23,e,,,NaN,NaN,vowels,,,vowels
Oo3,0,NaN,control_tongue,single-phoneme,608973,608787,24,o,,,NaN,NaN,vowels,,,vowels
Ee3,0,NaN,control_tongue,single-phoneme,612976,612783,25,i,,,NaN,NaN,vowels,,,vowels
Ah3,0,NaN,control_tongue,single-phoneme,616989,616779,26,a,,,NaN,NaN,vowels,,,vowels
Uh3,0,NaN,control_tongue,single-phoneme,620949,620777,27,u,,,NaN,NaN,vowels,,,vowels
T3,0,NaN,control_tongue,single-phoneme,624935,624771,28,t,,,NaN,NaN,alveolar,stop,no,alveolar
P3,0,NaN,control_tongue,single-phoneme,628922,628767,29,p,,,NaN,NaN,bilabial,stop,no,bilabial
S3,0,NaN,control_tongue,single-phoneme,633015,632764,30,s,,,NaN,NaN,alveolar,fricative,no,alveolar
D3,0,NaN,control_tongue,single-phoneme,636915,636760,31,d,,,NaN,NaN,alveolar,stop,yes,alveolar
B3,0,NaN,control_tongue,single-phoneme,640927,640787,32,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Z3,0,NaN,control_tongue,single-phoneme,645016,644756,33,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
Uh4,0,NaN,control_tongue,single-phoneme,648971,648748,34,u,,,NaN,NaN,vowels,,,vowels
Oo4,0,NaN,control_tongue,single-phoneme,652938,652777,35,o,,,NaN,NaN,vowels,,,vowels
Ee4,0,NaN,control_tongue,single-phoneme,657662,656807,36,i,,,NaN,NaN,vowels,,,vowels
Ah4,0,NaN,control_tongue,single-phoneme,661026,660805,37,a,,,NaN,NaN,vowels,,,vowels
Eh4,0,NaN,control_tongue,single-phoneme,664956,664800,38,e,,,NaN,NaN,vowels,,,vowels
S3,0,NaN,control_tongue,single-phoneme,669047,668796,39,s,,,NaN,NaN,alveolar,fricative,no,alveolar
P3,0,NaN,control_tongue,single-phoneme,672947,672792,40,p,,,NaN,NaN,bilabial,stop,no,bilabial
T3,0,NaN,control_tongue,single-phoneme,676952,676788,41,t,,,NaN,NaN,alveolar,stop,no,alveolar
Z3,0,NaN,control_tongue,single-phoneme,681043,680783,42,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
B3,0,NaN,control_tongue,single-phoneme,684920,684780,43,b,,,NaN,NaN,bilabial,stop,yes,bilabial
D3,0,NaN,control_tongue,single-phoneme,688930,688775,44,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Oo5,0,NaN,control_tongue,single-phoneme,692960,692808,45,o,,,NaN,NaN,vowels,,,vowels
Ah5,0,NaN,control_tongue,single-phoneme,696983,696801,46,a,,,NaN,NaN,vowels,,,vowels
Uh5,0,NaN,control_tongue,single-phoneme,700983,700828,47,u,,,NaN,NaN,vowels,,,vowels
Eh5,0,NaN,control_tongue,single-phoneme,704976,704794,48,e,,,NaN,NaN,vowels,,,vowels
Ee5,0,NaN,control_tongue,single-phoneme,708975,708822,49,i,,,NaN,NaN,vowels,,,vowels
Z5,0,NaN,control_tongue,single-phoneme,713009,712786,50,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P5,0,NaN,control_tongue,single-phoneme,716930,716783,51,p,,,NaN,NaN,bilabial,stop,no,bilabial
D5,0,NaN,control_tongue,single-phoneme,720988,720810,52,d,,,NaN,NaN,alveolar,stop,yes,alveolar
S5,0,NaN,control_tongue,single-phoneme,725006,724807,53,s,,,NaN,NaN,alveolar,fricative,no,alveolar
T5,0,NaN,control_tongue,single-phoneme,728982,728803,54,t,,,NaN,NaN,alveolar,stop,no,alveolar
B5,0,NaN,control_tongue,single-phoneme,732946,732799,55,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Bo_happy1,1,7,tongue,phonemes,736897,736797,56,b,o,,736951,NaN,bilabial,stop,yes,bilabial
Tu_happy1,0,5,control_tongue,phonemes,742523,742423,57,t,u,,742619,NaN,alveolar,stop,no,alveolar
Do_happy1,1,4,tongue,phonemes,748122,748022,58,d,o,,748174,NaN,alveolar,stop,yes,alveolar
Pa_happy1,1,8,tongue,phonemes,753748,753648,59,p,a,,753886,NaN,bilabial,stop,no,bilabial
Pe_angry2,1,8,tongue,phonemes,759342,759242,60,p,e,,759488,NaN,bilabial,stop,no,bilabial
Be_happy1,1,7,tongue,phonemes,764971,764871,61,b,e,,765025,NaN,bilabial,stop,yes,bilabial
Da_happy2,0,4,control_tongue,phonemes,770564,770464,62,d,a,,770619,NaN,alveolar,stop,yes,alveolar
Po_angry2,1,8,tongue,phonemes,776159,776059,63,p,o,,776244,NaN,bilabial,stop,no,bilabial
Bi_angry1,0,7,control_tongue,phonemes,781752,781652,64,b,i,,781814,NaN,bilabial,stop,yes,bilabial
Ti_happy2,1,5,tongue,phonemes,787349,787249,65,t,i,,787441,NaN,alveolar,stop,no,alveolar
Di_happy1,0,4,control_tongue,phonemes,792941,792841,66,d,i,,793024,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,tongue,phonemes,798539,798439,67,b,i,,798593,NaN,bilabial,stop,yes,bilabial
Da_angry1,1,4,tongue,phonemes,804147,804047,68,d,a,,804201,NaN,alveolar,stop,yes,alveolar
Ta_angry2,1,5,tongue,phonemes,809726,809626,69,t,a,,809811,NaN,alveolar,stop,no,alveolar
De_angry1,1,4,tongue,phonemes,815321,815221,70,d,e,,815367,NaN,alveolar,stop,yes,alveolar
Bo_angry1,0,7,control_tongue,phonemes,820914,820814,71,b,o,,820968,NaN,bilabial,stop,yes,bilabial
Du_happy2,1,4,tongue,phonemes,826544,826444,72,d,u,,826624,NaN,alveolar,stop,yes,alveolar
Po_happy2,1,8,tongue,phonemes,832138,832038,73,p,o,,832218,NaN,bilabial,stop,no,bilabial
Bu_angry1,1,7,tongue,phonemes,837732,837632,74,b,u,,837801,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_tongue,phonemes,843359,843259,75,t,e,,843472,NaN,alveolar,stop,no,alveolar
Pu_angry2,1,8,tongue,phonemes,848956,848856,76,p,u,,849071,NaN,bilabial,stop,no,bilabial
Du_angry1,1,4,tongue,phonemes,854549,854449,77,d,u,,854634,NaN,alveolar,stop,yes,alveolar
Pe_angry1,1,8,tongue,phonemes,860146,860046,78,p,e,,860295,NaN,bilabial,stop,no,bilabial
Di_angry2,1,4,tongue,phonemes,865739,865639,79,d,i,,865828,NaN,alveolar,stop,yes,alveolar
Pi_happy1,1,8,tongue,phonemes,871331,871231,80,p,i,,871390,NaN,bilabial,stop,no,bilabial
Ta_angry1,0,5,control_tongue,phonemes,876927,876827,81,t,a,,877035,NaN,alveolar,stop,no,alveolar
Be_angry1,1,7,tongue,phonemes,882527,882427,82,b,e,,882580,NaN,bilabial,stop,yes,bilabial
Pi_happy2,1,8,tongue,phonemes,888118,888018,83,p,i,,888218,NaN,bilabial,stop,no,bilabial
Da_happy1,1,4,tongue,phonemes,893711,893611,84,d,a,,893787,NaN,alveolar,stop,yes,alveolar
Bu_angry2,1,7,tongue,phonemes,899339,899239,85,b,u,,899408,NaN,bilabial,stop,yes,bilabial
Bo_angry2,1,7,tongue,phonemes,904933,904833,86,b,o,,904987,NaN,bilabial,stop,yes,bilabial
De_angry2,0,4,control_tongue,phonemes,910527,910427,87,d,e,,910574,NaN,alveolar,stop,yes,alveolar
Tu_happy2,1,5,tongue,phonemes,916123,916023,88,t,u,,916222,NaN,alveolar,stop,no,alveolar
Pa_angry2,0,8,control_tongue,phonemes,921719,921619,89,p,a,,921808,NaN,bilabial,stop,no,bilabial
De_happy2,1,4,tongue,phonemes,927313,927213,90,d,e,,927364,NaN,alveolar,stop,yes,alveolar
Ti_happy1,1,5,tongue,phonemes,932907,932807,91,t,i,,933002,NaN,alveolar,stop,no,alveolar
Pa_angry1,1,8,tongue,phonemes,938535,938435,92,p,a,,938669,NaN,bilabial,stop,no,bilabial
Pe_happy2,0,8,control_tongue,phonemes,944129,944029,93,p,e,,944272,NaN,bilabial,stop,no,bilabial
Bi_happy1,1,7,tongue,phonemes,949724,949624,94,b,i,,949778,NaN,bilabial,stop,yes,bilabial
Tu_angry2,1,5,tongue,phonemes,955318,955218,95,t,u,,955431,NaN,alveolar,stop,no,alveolar
Bu_happy1,0,7,control_tongue,phonemes,960913,960813,96,b,u,,960980,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,tongue,phonemes,966509,966409,97,d,o,,966562,NaN,alveolar,stop,yes,alveolar
To_happy2,1,5,tongue,phonemes,972101,972001,98,t,o,,972188,NaN,alveolar,stop,no,alveolar
Po_happy1,0,8,control_tongue,phonemes,977696,977596,99,p,o,,977791,NaN,bilabial,stop,no,bilabial
Ti_angry1,0,5,control_tongue,phonemes,983290,983190,100,t,i,,983464,NaN,alveolar,stop,no,alveolar
Pu_angry1,0,8,control_tongue,phonemes,988884,988784,101,p,u,,988967,NaN,bilabial,stop,no,bilabial
Do_happy2,0,4,control_tongue,phonemes,994480,994380,102,d,o,,994532,NaN,alveolar,stop,yes,alveolar
Ta_happy2,1,5,tongue,phonemes,1000074,999974,103,t,a,,1000144,NaN,alveolar,stop,no,alveolar
Ba_angry1,0,7,control_tongue,phonemes,1005668,1005568,104,b,a,,1005721,NaN,bilabial,stop,yes,bilabial
Pu_happy2,1,8,tongue,phonemes,1011265,1011165,105,p,u,,1011347,NaN,bilabial,stop,no,bilabial
Di_angry1,1,4,tongue,phonemes,1016860,1016760,106,d,i,,1016946,NaN,alveolar,stop,yes,alveolar
To_angry2,1,5,tongue,phonemes,1022453,1022353,107,t,o,,1022551,NaN,alveolar,stop,no,alveolar
Pi_angry1,0,8,control_tongue,phonemes,1028080,1027980,108,p,i,,1028245,NaN,bilabial,stop,no,bilabial
Ba_happy1,1,7,tongue,phonemes,1033679,1033579,109,b,a,,1033761,NaN,bilabial,stop,yes,bilabial
To_angry1,0,5,control_tongue,phonemes,1039301,1039201,110,t,o,,1039386,NaN,alveolar,stop,no,alveolar
Te_angry1,1,5,tongue,phonemes,1044899,1044799,111,t,e,,1045012,NaN,alveolar,stop,no,alveolar
Be_happy2,0,7,control_tongue,phonemes,1050492,1050392,112,b,e,,1050637,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,tongue,phonemes,1056121,1056021,113,t,e,,1056233,NaN,alveolar,stop,no,alveolar
Ba_angry2,1,7,tongue,phonemes,1061749,1061649,114,b,a,,1061802,NaN,bilabial,stop,yes,bilabial
