Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Ah1,0,NaN,control_tongue,single-phoneme,235776,235530,1,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_tongue,single-phoneme,239719,239493,2,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_tongue,single-phoneme,243655,243488,3,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_tongue,single-phoneme,247652,247452,4,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_tongue,single-phoneme,251669,251481,5,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_tongue,single-phoneme,255737,255478,6,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_tongue,single-phoneme,259651,259475,7,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_tongue,single-phoneme,263616,263470,8,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_tongue,single-phoneme,267618,267468,9,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_tongue,single-phoneme,271986,271497,10,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_tongue,single-phoneme,275640,275493,11,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_tongue,single-phoneme,279680,279487,12,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_tongue,single-phoneme,283632,283450,13,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_tongue,single-phoneme,287629,287481,14,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_tongue,single-phoneme,291662,291481,15,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_tongue,single-phoneme,295708,295474,16,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_tongue,single-phoneme,299632,299468,17,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_tongue,single-phoneme,303653,303465,18,t,,,NaN,NaN,alveolar,stop,no,alveolar
