Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Bo_happy1,1,7,lip,phonemes,2733876,2733776,1,b,o,,2733930,NaN,bilabial,stop,yes,bilabial
Tu_happy1,0,5,control_lip,phonemes,2739470,2739370,2,t,u,,2739566,NaN,alveolar,stop,no,alveolar
Do_happy1,1,4,lip,phonemes,2745066,2744966,3,d,o,,2745118,NaN,alveolar,stop,yes,alveolar
Pa_happy1,1,8,lip,phonemes,2750660,2750560,4,p,a,,2750798,NaN,bilabial,stop,no,bilabial
Pe_angry2,1,8,lip,phonemes,2756288,2756188,5,p,e,,2756434,NaN,bilabial,stop,no,bilabial
Be_happy1,1,7,lip,phonemes,2761918,2761818,6,b,e,,2761972,NaN,bilabial,stop,yes,bilabial
Da_happy2,0,4,control_lip,phonemes,2767509,2767409,7,d,a,,2767564,NaN,alveolar,stop,yes,alveolar
Po_angry2,1,8,lip,phonemes,2773105,2773005,8,p,o,,2773190,NaN,bilabial,stop,no,bilabial
Bi_angry1,0,7,control_lip,phonemes,2778699,2778599,9,b,i,,2778761,NaN,bilabial,stop,yes,bilabial
Ti_happy2,1,5,lip,phonemes,2784294,2784194,10,t,i,,2784386,NaN,alveolar,stop,no,alveolar
Di_happy1,0,4,control_lip,phonemes,2789921,2789821,11,d,i,,2790004,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,lip,phonemes,2795516,2795416,12,b,i,,2795570,NaN,bilabial,stop,yes,bilabial
Da_angry1,1,4,lip,phonemes,2801111,2801011,13,d,a,,2801165,NaN,alveolar,stop,yes,alveolar
Ta_angry2,1,5,lip,phonemes,2806706,2806606,14,t,a,,2806791,NaN,alveolar,stop,no,alveolar
De_angry1,1,4,lip,phonemes,2812302,2812202,15,d,e,,2812348,NaN,alveolar,stop,yes,alveolar
Bo_angry1,0,7,control_lip,phonemes,2817895,2817795,16,b,o,,2817949,NaN,bilabial,stop,yes,bilabial
Du_happy2,1,4,lip,phonemes,2823489,2823389,17,d,u,,2823569,NaN,alveolar,stop,yes,alveolar
Po_happy2,1,8,lip,phonemes,2829084,2828984,18,p,o,,2829164,NaN,bilabial,stop,no,bilabial
Bu_angry1,1,7,lip,phonemes,2834712,2834612,19,b,u,,2834781,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_lip,phonemes,2840305,2840205,20,t,e,,2840418,NaN,alveolar,stop,no,alveolar
Pu_angry2,1,8,lip,phonemes,2845906,2845806,21,p,u,,2846021,NaN,bilabial,stop,no,bilabial
Du_angry1,1,4,lip,phonemes,2851496,2851396,22,d,u,,2851581,NaN,alveolar,stop,yes,alveolar
Pe_angry1,1,8,lip,phonemes,2857089,2856989,23,p,e,,2857238,NaN,bilabial,stop,no,bilabial
Di_angry2,1,4,lip,phonemes,2862685,2862585,24,d,i,,2862774,NaN,alveolar,stop,yes,alveolar
Pi_happy1,1,8,lip,phonemes,2868281,2868181,25,p,i,,2868340,NaN,bilabial,stop,no,bilabial
Ta_angry1,0,5,control_lip,phonemes,2873905,2873805,26,t,a,,2874013,NaN,alveolar,stop,no,alveolar
Be_angry1,1,7,lip,phonemes,2879503,2879403,27,b,e,,2879556,NaN,bilabial,stop,yes,bilabial
Pi_happy2,1,8,lip,phonemes,2885097,2884997,28,p,i,,2885197,NaN,bilabial,stop,no,bilabial
Da_happy1,1,4,lip,phonemes,2890694,2890594,29,d,a,,2890770,NaN,alveolar,stop,yes,alveolar
Bu_angry2,1,7,lip,phonemes,2896320,2896220,30,b,u,,2896389,NaN,bilabial,stop,yes,bilabial
Bo_angry2,1,7,lip,phonemes,2901914,2901814,31,b,o,,2901968,NaN,bilabial,stop,yes,bilabial
De_angry2,0,4,control_lip,phonemes,2907507,2907407,32,d,e,,2907554,NaN,alveolar,stop,yes,alveolar
Tu_happy2,1,5,lip,phonemes,2913107,2913007,33,t,u,,2913206,NaN,alveolar,stop,no,alveolar
Pa_angry2,0,8,control_lip,phonemes,2918697,2918597,34,p,a,,2918786,NaN,bilabial,stop,no,bilabial
De_happy2,1,4,lip,phonemes,2924325,2924225,35,d,e,,2924376,NaN,alveolar,stop,yes,alveolar
Ti_happy1,1,5,lip,phonemes,2929924,2929824,36,t,i,,2930019,NaN,alveolar,stop,no,alveolar
Pa_angry1,1,8,lip,phonemes,2935547,2935447,37,p,a,,2935681,NaN,bilabial,stop,no,bilabial
Pe_happy2,0,8,control_lip,phonemes,2941142,2941042,38,p,e,,2941285,NaN,bilabial,stop,no,bilabial
Bi_happy1,1,7,lip,phonemes,2946737,2946637,39,b,i,,2946791,NaN,bilabial,stop,yes,bilabial
Tu_angry2,1,5,lip,phonemes,2952367,2952267,40,t,u,,2952480,NaN,alveolar,stop,no,alveolar
Bu_happy1,0,7,control_lip,phonemes,2957990,2957890,41,b,u,,2958057,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,lip,phonemes,2963620,2963520,42,d,o,,2963673,NaN,alveolar,stop,yes,alveolar
To_happy2,1,5,lip,phonemes,2969215,2969115,43,t,o,,2969302,NaN,alveolar,stop,no,alveolar
Po_happy1,0,8,control_lip,phonemes,2974811,2974711,44,p,o,,2974906,NaN,bilabial,stop,no,bilabial
Ti_angry1,0,5,control_lip,phonemes,2980403,2980303,45,t,i,,2980577,NaN,alveolar,stop,no,alveolar
Pu_angry1,0,8,control_lip,phonemes,2986031,2985931,46,p,u,,2986114,NaN,bilabial,stop,no,bilabial
Do_happy2,0,4,control_lip,phonemes,2991658,2991558,47,d,o,,2991710,NaN,alveolar,stop,yes,alveolar
Ta_happy2,1,5,lip,phonemes,2997256,2997156,48,t,a,,2997326,NaN,alveolar,stop,no,alveolar
Ba_angry1,0,7,control_lip,phonemes,3002847,3002747,49,b,a,,3002900,NaN,bilabial,stop,yes,bilabial
Pu_happy2,1,8,lip,phonemes,3008444,3008344,50,p,u,,3008526,NaN,bilabial,stop,no,bilabial
Di_angry1,1,4,lip,phonemes,3014039,3013939,51,d,i,,3014125,NaN,alveolar,stop,yes,alveolar
To_angry2,1,5,lip,phonemes,3019634,3019534,52,t,o,,3019732,NaN,alveolar,stop,no,alveolar
Pi_angry1,0,8,control_lip,phonemes,3025259,3025159,53,p,i,,3025424,NaN,bilabial,stop,no,bilabial
Ba_happy1,1,7,lip,phonemes,3030857,3030757,54,b,a,,3030939,NaN,bilabial,stop,yes,bilabial
To_angry1,0,5,control_lip,phonemes,3036483,3036383,55,t,o,,3036568,NaN,alveolar,stop,no,alveolar
Te_angry1,1,5,lip,phonemes,3042078,3041978,56,t,e,,3042191,NaN,alveolar,stop,no,alveolar
Be_happy2,0,7,control_lip,phonemes,3047704,3047604,57,b,e,,3047849,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,lip,phonemes,3053301,3053201,58,t,e,,3053413,NaN,alveolar,stop,no,alveolar
Ba_angry2,1,7,lip,phonemes,3058931,3058831,59,b,a,,3058984,NaN,bilabial,stop,yes,bilabial
Du_angry2,0,4,control_lip,phonemes,3064522,3064422,60,d,u,,3064608,NaN,alveolar,stop,yes,alveolar
Pe_happy1,1,8,lip,phonemes,3102121,3102021,61,p,e,,3102222,NaN,bilabial,stop,no,bilabial
Ta_happy1,1,5,lip,phonemes,3107714,3107614,62,t,a,,3107851,NaN,alveolar,stop,no,alveolar
Bu_angry1,1,7,lip,phonemes,3113309,3113209,63,b,u,,3113378,NaN,bilabial,stop,yes,bilabial
To_happy2,0,5,control_lip,phonemes,3118902,3118802,64,t,o,,3118989,NaN,alveolar,stop,no,alveolar
Da_angry2,1,4,lip,phonemes,3124502,3124402,65,d,a,,3124558,NaN,alveolar,stop,yes,alveolar
Pu_happy2,0,8,control_lip,phonemes,3130091,3129991,66,p,u,,3130173,NaN,bilabial,stop,no,bilabial
De_happy1,1,4,lip,phonemes,3135688,3135588,67,d,e,,3135738,NaN,alveolar,stop,yes,alveolar
Bu_happy1,1,7,lip,phonemes,3141282,3141182,68,b,u,,3141349,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,lip,phonemes,3146876,3146776,69,d,o,,3146929,NaN,alveolar,stop,yes,alveolar
Pi_angry1,1,8,lip,phonemes,3152473,3152373,70,p,i,,3152638,NaN,bilabial,stop,no,bilabial
Bo_angry2,0,7,control_lip,phonemes,3158064,3157964,71,b,o,,3158118,NaN,bilabial,stop,yes,bilabial
Ta_happy2,1,5,lip,phonemes,3163661,3163561,72,t,a,,3163731,NaN,alveolar,stop,no,alveolar
De_happy2,1,4,lip,phonemes,3169255,3169155,73,d,e,,3169306,NaN,alveolar,stop,yes,alveolar
Pe_angry1,0,8,control_lip,phonemes,3174847,3174747,74,p,e,,3174996,NaN,bilabial,stop,no,bilabial
Pu_angry1,1,8,lip,phonemes,3180445,3180345,75,p,u,,3180528,NaN,bilabial,stop,no,bilabial
Da_angry1,0,4,control_lip,phonemes,3186038,3185938,76,d,a,,3186092,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,lip,phonemes,3191634,3191534,77,b,i,,3191688,NaN,bilabial,stop,yes,bilabial
Do_happy1,1,4,lip,phonemes,3197228,3197128,78,d,o,,3197280,NaN,alveolar,stop,yes,alveolar
Pi_happy1,0,8,control_lip,phonemes,3202823,3202723,79,p,i,,3202882,NaN,bilabial,stop,no,bilabial
Do_angry2,0,4,control_lip,phonemes,3208417,3208317,80,d,o,,3208470,NaN,alveolar,stop,yes,alveolar
Ti_happy2,1,5,lip,phonemes,3214011,3213911,81,t,i,,3214103,NaN,alveolar,stop,no,alveolar
Bo_happy1,1,7,lip,phonemes,3219639,3219539,82,b,o,,3219693,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,lip,phonemes,3225237,3225137,83,t,e,,3225349,NaN,alveolar,stop,no,alveolar
Pa_happy1,0,8,control_lip,phonemes,3230826,3230726,84,p,a,,3230964,NaN,bilabial,stop,no,bilabial
Da_happy2,1,4,lip,phonemes,3236425,3236325,85,d,a,,3236480,NaN,alveolar,stop,yes,alveolar
Bu_angry2,0,7,control_lip,phonemes,3242049,3241949,86,b,u,,3242118,NaN,bilabial,stop,yes,bilabial
