Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,lip,phonemes,1,vC,u,d,861516,861860,861416,alveolar,stop,no,alveolar
Pu_angry2,1,2,lip,phonemes,3,Cv,p,u,877479,877594,877379,bilabial,stop,no,bilabial
iT_angry2,0,4,control_lip,phonemes,4,vC,i,t,885440,885684,885340,alveolar,stop,no,alveolar
iD_angry2,1,3,lip,phonemes,6,vC,i,d,901508,901850,901408,alveolar,stop,no,alveolar
aD_happy1,1,3,lip,phonemes,8,vC,a,d,917506,917763,917406,alveolar,stop,no,alveolar
Pa_angry1,1,2,lip,phonemes,9,Cv,p,a,925473,925607,925373,bilabial,stop,no,bilabial
Da_happy1,1,3,lip,phonemes,11,Cv,d,a,941470,941546,941370,alveolar,stop,yes,alveolar
Bi_happy1,1,1,lip,phonemes,12,Cv,b,i,949468,949522,949368,bilabial,stop,yes,bilabial
Be_angry1,1,1,lip,phonemes,13,Cv,b,e,957467,957520,957367,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_lip,phonemes,14,Cv,p,u,965471,965554,965371,bilabial,stop,no,bilabial
uT_angry1,1,4,lip,phonemes,15,vC,u,t,973498,973817,973398,alveolar,stop,no,alveolar
Di_angry1,1,3,lip,phonemes,16,Cv,d,i,981464,981550,981364,alveolar,stop,yes,alveolar
Te_happy2,0,4,control_lip,phonemes,17,Cv,t,e,989488,989602,989388,alveolar,stop,no,alveolar
Ba_angry2,0,1,control_lip,phonemes,19,Cv,b,a,1005528,1005581,1005428,bilabial,stop,yes,bilabial
Pu_happy2,1,2,lip,phonemes,20,Cv,p,u,1013492,1013574,1013392,bilabial,stop,no,bilabial
iD_happy2,0,3,control_lip,phonemes,21,vC,i,d,1021527,1021866,1021427,alveolar,stop,no,alveolar
Te_angry1,1,4,lip,phonemes,22,Cv,t,e,1029492,1029605,1029392,alveolar,stop,no,alveolar
eD_angry1,0,3,control_lip,phonemes,24,vC,e,d,1045452,1045727,1045352,alveolar,stop,no,alveolar
Di_angry2,1,3,lip,phonemes,25,Cv,d,i,1053453,1053542,1053353,alveolar,stop,yes,alveolar
Bu_angry1,1,1,lip,phonemes,26,Cv,b,u,1061451,1061520,1061351,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_lip,phonemes,27,Cv,p,e,1069450,1069596,1069350,bilabial,stop,no,bilabial
Ti_happy1,1,4,lip,phonemes,28,Cv,t,i,1077484,1077579,1077384,alveolar,stop,no,alveolar
uP_happy2,1,2,lip,phonemes,29,vC,u,p,1085447,1085777,1085347,alveolar,stop,no,alveolar
uB_angry2,0,1,control_lip,phonemes,30,vC,u,b,1093482,1093821,1093382,alveolar,stop,no,alveolar
iT_happy2,1,4,lip,phonemes,31,vC,i,t,1101479,1101754,1101379,alveolar,stop,no,alveolar
uP_angry1,0,2,control_lip,phonemes,32,vC,u,p,1109477,1109819,1109377,alveolar,stop,no,alveolar
Do_angry1,1,3,lip,phonemes,33,Cv,d,o,1117478,1117531,1117378,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_lip,phonemes,34,Cv,b,i,1125574,1125636,1125474,bilabial,stop,yes,bilabial
De_happy2,1,3,lip,phonemes,35,Cv,d,e,1133565,1133616,1133465,alveolar,stop,yes,alveolar
