Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,lip,phonemes,1,vC,u,d,477354,477698,477254,alveolar,stop,no,alveolar
aD_angry1,1,3,lip,phonemes,2,vC,a,d,485314,485547,485214,alveolar,stop,no,alveolar
Pu_angry2,1,2,lip,phonemes,3,Cv,p,u,493340,493455,493240,bilabial,stop,no,bilabial
iT_angry2,0,4,control_lip,phonemes,4,vC,i,t,501347,501591,501247,alveolar,stop,no,alveolar
Bo_angry2,1,1,lip,phonemes,5,Cv,b,o,509323,509377,509223,bilabial,stop,yes,bilabial
iD_happy1,1,3,lip,phonemes,6,vC,i,d,517316,517637,517216,alveolar,stop,no,alveolar
eB_angry1,1,1,lip,phonemes,7,vC,e,b,525343,525663,525243,alveolar,stop,no,alveolar
aD_happy1,1,3,lip,phonemes,8,vC,a,d,533367,533624,533267,alveolar,stop,no,alveolar
Pa_angry1,1,2,lip,phonemes,9,Cv,p,a,541359,541493,541259,bilabial,stop,no,bilabial
eT_happy2,0,4,control_lip,phonemes,10,vC,e,t,549354,549617,549254,alveolar,stop,no,alveolar
Da_happy1,1,3,lip,phonemes,11,Cv,d,a,557344,557420,557244,alveolar,stop,yes,alveolar
Bi_happy1,1,1,lip,phonemes,12,Cv,b,i,565369,565423,565269,bilabial,stop,yes,bilabial
Be_angry1,1,1,lip,phonemes,13,Cv,b,e,573333,573386,573233,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_lip,phonemes,14,Cv,p,u,581314,581397,581214,bilabial,stop,no,bilabial
uT_angry1,1,4,lip,phonemes,15,vC,u,t,589312,589631,589212,alveolar,stop,no,alveolar
Di_angry1,1,3,lip,phonemes,16,Cv,d,i,597340,597426,597240,alveolar,stop,yes,alveolar
uT_happy2,0,4,control_lip,phonemes,17,vC,u,t,605354,605682,605254,alveolar,stop,no,alveolar
eB_happy2,0,1,control_lip,phonemes,18,vC,e,b,613340,613582,613240,alveolar,stop,no,alveolar
Do_happy2,0,3,control_lip,phonemes,19,Cv,d,o,621332,621384,621232,alveolar,stop,yes,alveolar
Pu_happy2,1,2,lip,phonemes,20,Cv,p,u,629343,629425,629243,bilabial,stop,no,bilabial
iD_happy2,0,3,control_lip,phonemes,21,vC,i,d,637343,637682,637243,alveolar,stop,no,alveolar
Te_angry1,1,4,lip,phonemes,22,Cv,t,e,645324,645437,645224,alveolar,stop,no,alveolar
Ba_angry2,1,1,lip,phonemes,23,Cv,b,a,653357,653410,653257,bilabial,stop,yes,bilabial
oD_angry1,0,3,control_lip,phonemes,24,vC,o,d,661383,661802,661283,alveolar,stop,no,alveolar
Di_angry2,1,3,lip,phonemes,25,Cv,d,i,669367,669456,669267,alveolar,stop,yes,alveolar
Bu_angry1,1,1,lip,phonemes,26,Cv,b,u,677326,677395,677226,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_lip,phonemes,27,Cv,p,e,685317,685463,685217,bilabial,stop,no,bilabial
Ti_happy1,1,4,lip,phonemes,28,Cv,t,i,693378,693473,693278,alveolar,stop,no,alveolar
uP_happy1,1,2,lip,phonemes,29,vC,u,p,701337,701618,701237,alveolar,stop,no,alveolar
uB_angry2,0,1,control_lip,phonemes,30,vC,u,b,709328,709667,709228,alveolar,stop,no,alveolar
iT_happy2,1,4,lip,phonemes,31,vC,i,t,717354,717629,717254,alveolar,stop,no,alveolar
uP_angry1,0,2,control_lip,phonemes,32,vC,u,p,725362,725704,725262,alveolar,stop,no,alveolar
Do_angry1,1,3,lip,phonemes,33,Cv,d,o,733340,733393,733240,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_lip,phonemes,34,Cv,b,i,741342,741404,741242,bilabial,stop,yes,bilabial
De_happy2,1,3,lip,phonemes,35,Cv,d,e,749356,749407,749256,alveolar,stop,yes,alveolar
oT_angry1,0,4,control_lip,phonemes,36,vC,o,t,757371,757702,757271,alveolar,stop,no,alveolar
Da_happy2,1,3,lip,phonemes,37,Cv,d,a,765308,765363,765208,alveolar,stop,yes,alveolar
Be_happy1,1,1,lip,phonemes,38,Cv,b,e,773367,773421,773267,bilabial,stop,yes,bilabial
iB_happy2,1,1,lip,phonemes,39,vC,i,b,781325,781649,781225,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_lip,phonemes,40,Cv,p,i,789319,789419,789219,bilabial,stop,no,bilabial
Bi_happy2,1,1,lip,phonemes,41,Cv,b,i,797345,797399,797245,bilabial,stop,yes,bilabial
iP_angry2,1,2,lip,phonemes,42,vC,i,p,805335,805656,805235,alveolar,stop,no,alveolar
eT_angry2,1,4,lip,phonemes,43,vC,e,t,813328,813618,813228,alveolar,stop,no,alveolar
oD_angry2,0,3,control_lip,phonemes,44,vC,o,d,821315,821726,821215,alveolar,stop,no,alveolar
Da_angry1,1,3,lip,phonemes,45,Cv,d,a,829312,829366,829212,alveolar,stop,yes,alveolar
Be_happy2,0,1,control_lip,phonemes,46,Cv,b,e,837306,837451,837206,bilabial,stop,yes,bilabial
Pa_happy1,1,2,lip,phonemes,47,Cv,p,a,845363,845501,845263,bilabial,stop,no,bilabial
aP_angry1,1,2,lip,phonemes,48,vC,a,p,853356,853690,853256,alveolar,stop,no,alveolar
uD_angry2,1,3,lip,phonemes,49,vC,u,d,861314,861679,861214,alveolar,stop,no,alveolar
Ta_angry1,0,4,control_lip,phonemes,50,Cv,t,a,869327,869435,869227,alveolar,stop,no,alveolar
eB_happy1,1,1,lip,phonemes,51,vC,e,b,877366,877611,877266,alveolar,stop,no,alveolar
Te_happy1,0,4,control_lip,phonemes,53,Cv,t,e,893368,893481,893268,alveolar,stop,no,alveolar
aP_happy2,1,2,lip,phonemes,54,vC,a,p,901307,901587,901207,alveolar,stop,no,alveolar
Bo_angry1,0,1,control_lip,phonemes,55,Cv,b,o,909319,909373,909219,bilabial,stop,yes,bilabial
Ti_angry1,0,4,control_lip,phonemes,56,Cv,t,i,917301,917475,917201,alveolar,stop,no,alveolar
aB_angry2,0,1,control_lip,phonemes,57,vC,a,b,925294,925634,925194,alveolar,stop,no,alveolar
Po_happy1,0,2,control_lip,phonemes,58,Cv,p,o,933313,933408,933213,bilabial,stop,no,bilabial
aD_angry2,1,3,lip,phonemes,59,vC,a,d,941336,941659,941236,alveolar,stop,no,alveolar
iP_angry1,1,2,lip,phonemes,60,vC,i,p,949361,949688,949261,alveolar,stop,no,alveolar
