Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Pi_happy2,1,8,tongue,phonemes,1377026,1376926,83,p,i,,1377126,NaN,bilabial,stop,no,bilabial
Da_happy1,1,4,tongue,phonemes,1382619,1382519,84,d,a,,1382695,NaN,alveolar,stop,yes,alveolar
Bu_angry2,1,7,tongue,phonemes,1388213,1388113,85,b,u,,1388282,NaN,bilabial,stop,yes,bilabial
Bo_angry2,1,7,tongue,phonemes,1393808,1393708,86,b,o,,1393862,NaN,bilabial,stop,yes,bilabial
De_angry2,0,4,control_tongue,phonemes,1399402,1399302,87,d,e,,1399449,NaN,alveolar,stop,yes,alveolar
Tu_happy2,1,5,tongue,phonemes,1404996,1404896,88,t,u,,1405095,NaN,alveolar,stop,no,alveolar
Pa_angry2,0,8,control_tongue,phonemes,1410591,1410491,89,p,a,,1410680,NaN,bilabial,stop,no,bilabial
De_happy2,1,4,tongue,phonemes,1416186,1416086,90,d,e,,1416237,NaN,alveolar,stop,yes,alveolar
Ti_happy1,1,5,tongue,phonemes,1421781,1421681,91,t,i,,1421876,NaN,alveolar,stop,no,alveolar
Pa_angry1,1,8,tongue,phonemes,1427375,1427275,92,p,a,,1427509,NaN,bilabial,stop,no,bilabial
Pe_happy2,0,8,control_tongue,phonemes,1432969,1432869,93,p,e,,1433112,NaN,bilabial,stop,no,bilabial
Bi_happy1,1,7,tongue,phonemes,1438565,1438465,94,b,i,,1438619,NaN,bilabial,stop,yes,bilabial
Tu_angry2,1,5,tongue,phonemes,1444159,1444059,95,t,u,,1444272,NaN,alveolar,stop,no,alveolar
Bu_happy1,0,7,control_tongue,phonemes,1449753,1449653,96,b,u,,1449820,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,tongue,phonemes,1455351,1455251,97,d,o,,1455404,NaN,alveolar,stop,yes,alveolar
To_happy2,1,5,tongue,phonemes,1460943,1460843,98,t,o,,1461030,NaN,alveolar,stop,no,alveolar
Po_happy1,0,8,control_tongue,phonemes,1466536,1466436,99,p,o,,1466631,NaN,bilabial,stop,no,bilabial
Ti_angry1,0,5,control_tongue,phonemes,1472130,1472030,100,t,i,,1472304,NaN,alveolar,stop,no,alveolar
Pu_angry1,0,8,control_tongue,phonemes,1477726,1477626,101,p,u,,1477809,NaN,bilabial,stop,no,bilabial
Do_happy2,0,4,control_tongue,phonemes,1483321,1483221,102,d,o,,1483373,NaN,alveolar,stop,yes,alveolar
Ta_happy2,1,5,tongue,phonemes,1488949,1488849,103,t,a,,1489019,NaN,alveolar,stop,no,alveolar
Ba_angry1,0,7,control_tongue,phonemes,1494542,1494442,104,b,a,,1494595,NaN,bilabial,stop,yes,bilabial
Pu_happy2,1,8,tongue,phonemes,1500137,1500037,105,p,u,,1500219,NaN,bilabial,stop,no,bilabial
Di_angry1,1,4,tongue,phonemes,1505732,1505632,106,d,i,,1505818,NaN,alveolar,stop,yes,alveolar
To_angry2,1,5,tongue,phonemes,1511328,1511228,107,t,o,,1511426,NaN,alveolar,stop,no,alveolar
Pi_angry1,0,8,control_tongue,phonemes,1516920,1516820,108,p,i,,1517085,NaN,bilabial,stop,no,bilabial
Ba_happy1,1,7,tongue,phonemes,1522515,1522415,109,b,a,,1522597,NaN,bilabial,stop,yes,bilabial
To_angry1,0,5,control_tongue,phonemes,1528111,1528011,110,t,o,,1528196,NaN,alveolar,stop,no,alveolar
Te_angry1,1,5,tongue,phonemes,1533706,1533606,111,t,e,,1533819,NaN,alveolar,stop,no,alveolar
Be_happy2,0,7,control_tongue,phonemes,1539299,1539199,112,b,e,,1539444,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,tongue,phonemes,1544895,1544795,113,t,e,,1545007,NaN,alveolar,stop,no,alveolar
Ba_angry2,1,7,tongue,phonemes,1550488,1550388,114,b,a,,1550541,NaN,bilabial,stop,yes,bilabial
Du_angry2,0,4,control_tongue,phonemes,1556084,1555984,115,d,u,,1556170,NaN,alveolar,stop,yes,alveolar
Pe_happy1,1,8,tongue,phonemes,1593682,1593582,116,p,e,,1593783,NaN,bilabial,stop,no,bilabial
Ta_happy1,1,5,tongue,phonemes,1599276,1599176,117,t,a,,1599413,NaN,alveolar,stop,no,alveolar
Bu_angry1,1,7,tongue,phonemes,1604871,1604771,118,b,u,,1604940,NaN,bilabial,stop,yes,bilabial
To_happy2,0,5,control_tongue,phonemes,1610462,1610362,119,t,o,,1610549,NaN,alveolar,stop,no,alveolar
Da_angry2,1,4,tongue,phonemes,1616061,1615961,120,d,a,,1616117,NaN,alveolar,stop,yes,alveolar
Pu_happy2,0,8,control_tongue,phonemes,1621651,1621551,121,p,u,,1621733,NaN,bilabial,stop,no,bilabial
De_happy1,1,4,tongue,phonemes,1627250,1627150,122,d,e,,1627300,NaN,alveolar,stop,yes,alveolar
Bu_happy1,1,7,tongue,phonemes,1632844,1632744,123,b,u,,1632911,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,tongue,phonemes,1638439,1638339,124,d,o,,1638492,NaN,alveolar,stop,yes,alveolar
Pi_angry1,1,8,tongue,phonemes,1644032,1643932,125,p,i,,1644197,NaN,bilabial,stop,no,bilabial
Bo_angry2,0,7,control_tongue,phonemes,1649624,1649524,126,b,o,,1649678,NaN,bilabial,stop,yes,bilabial
Ta_happy2,1,5,tongue,phonemes,1655221,1655121,127,t,a,,1655291,NaN,alveolar,stop,no,alveolar
De_happy2,1,4,tongue,phonemes,1660817,1660717,128,d,e,,1660868,NaN,alveolar,stop,yes,alveolar
Pe_angry1,0,8,control_tongue,phonemes,1666408,1666308,129,p,e,,1666557,NaN,bilabial,stop,no,bilabial
Pu_angry1,1,8,tongue,phonemes,1672006,1671906,130,p,u,,1672089,NaN,bilabial,stop,no,bilabial
Da_angry1,0,4,control_tongue,phonemes,1677597,1677497,131,d,a,,1677651,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,tongue,phonemes,1683193,1683093,132,b,i,,1683247,NaN,bilabial,stop,yes,bilabial
Do_happy1,1,4,tongue,phonemes,1688790,1688690,133,d,o,,1688842,NaN,alveolar,stop,yes,alveolar
Pi_happy1,0,8,control_tongue,phonemes,1694381,1694281,134,p,i,,1694440,NaN,bilabial,stop,no,bilabial
Do_angry2,0,4,control_tongue,phonemes,1699976,1699876,135,d,o,,1700029,NaN,alveolar,stop,yes,alveolar
Ti_happy2,1,5,tongue,phonemes,1705574,1705474,136,t,i,,1705666,NaN,alveolar,stop,no,alveolar
Bo_happy1,1,7,tongue,phonemes,1711167,1711067,137,b,o,,1711221,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,tongue,phonemes,1716776,1716676,138,t,e,,1716888,NaN,alveolar,stop,no,alveolar
Pa_happy1,0,8,control_tongue,phonemes,1722354,1722254,139,p,a,,1722492,NaN,bilabial,stop,no,bilabial
Da_happy2,1,4,tongue,phonemes,1727952,1727852,140,d,a,,1728007,NaN,alveolar,stop,yes,alveolar
Bu_angry2,0,7,control_tongue,phonemes,1733542,1733442,141,b,u,,1733611,NaN,bilabial,stop,yes,bilabial
Po_angry2,1,8,tongue,phonemes,1739140,1739040,142,p,o,,1739225,NaN,bilabial,stop,no,bilabial
Ta_angry2,0,5,control_tongue,phonemes,1744768,1744668,143,t,a,,1744853,NaN,alveolar,stop,no,alveolar
Du_angry2,1,4,tongue,phonemes,1750362,1750262,144,d,u,,1750448,NaN,alveolar,stop,yes,alveolar
Bi_angry1,1,7,tongue,phonemes,1755957,1755857,145,b,i,,1756019,NaN,bilabial,stop,yes,bilabial
Di_happy2,1,4,tongue,phonemes,1761551,1761451,146,d,i,,1761633,NaN,alveolar,stop,yes,alveolar
Be_angry2,1,7,tongue,phonemes,1767146,1767046,147,b,e,,1767200,NaN,bilabial,stop,yes,bilabial
Di_happy1,1,4,tongue,phonemes,1772741,1772641,148,d,i,,1772824,NaN,alveolar,stop,yes,alveolar
Pu_happy1,1,8,tongue,phonemes,1778335,1778235,149,p,u,,1778414,NaN,bilabial,stop,no,bilabial
Bi_angry2,0,7,control_tongue,phonemes,1783929,1783829,150,b,i,,1783984,NaN,bilabial,stop,yes,bilabial
Po_angry1,1,8,tongue,phonemes,1789524,1789424,151,p,o,,1789603,NaN,bilabial,stop,no,bilabial
Bo_happy2,1,7,tongue,phonemes,1795119,1795019,152,b,o,,1795173,NaN,bilabial,stop,yes,bilabial
Tu_happy1,1,5,tongue,phonemes,1800712,1800612,153,t,u,,1800808,NaN,alveolar,stop,no,alveolar
Po_happy2,0,8,control_tongue,phonemes,1806307,1806207,154,p,o,,1806387,NaN,bilabial,stop,no,bilabial
Du_happy2,0,4,control_tongue,phonemes,1811900,1811800,155,d,u,,1811980,NaN,alveolar,stop,yes,alveolar
To_happy1,1,5,tongue,phonemes,1817496,1817396,156,t,o,,1817578,NaN,alveolar,stop,no,alveolar
Ba_happy1,1,7,tongue,phonemes,1823092,1822992,157,b,a,,1823174,NaN,bilabial,stop,yes,bilabial
De_angry1,0,4,control_tongue,phonemes,1828719,1828619,158,d,e,,1828765,NaN,alveolar,stop,yes,alveolar
